row_label_raw,row_label_full,Số đầu năm,Số phải nộp/ thu trong năm,Số đã thực nộp/ thu/được khấu trừ trong năm,Số cuối năm,numeric__Số phải nộp/ thu trong năm,numeric__Số đã thực nộp/ thu/được khấu trừ trong năm,numeric__Số cuối năm
VND,VND,VND,VND,VND,VND,,,
9.444.092.790,VND > 9.444.092.790,9.444.092.790,-,-,9.444.092.790,,,9444092790.0
69.112.405,VND > 69.112.405,69.112.405,89.066.707,-,158.179.112,89066707.0,,158179112.0
9.513.205.195,VND > 9.513.205.195,9.513.205.195,89.066.707,-,9.602.271.902,89066707.0,,9602271902.0
25.320.667.515,VND > 25.320.667.515,25.320.667.515,1.798.424.062.226,1.785.368.272.325,38.376.457.416,1798424062226.0,1785368272325.0,38376457416.0
25.320.667.515,VND > 25.320.667.515,25.320.667.515,1.668.374.243.140,1.655.318.453.239,38.376.457.416,1668374243140.0,1655318453239.0,38376457416.0
-,VND > -,-,130.049.819.086,130.049.819.086,-,130049819086.0,130049819086.0,
-,VND > -,-,5.026.301.868,5.026.301.868,-,5026301868.0,5026301868.0,
91.660.487.143,VND > 91.660.487.143,91.660.487.143,440.531.382.432,393.383.073.361,138.808.796.214,440531382432.0,393383073361.0,138808796214.0
11.130.903.484,VND > 11.130.903.484,11.130.903.484,140.054.429.870,141.799.980.533,9.385.352.821,140054429870.0,141799980533.0,9385352821.0
9.318.537.197,VND > 9.318.537.197,9.318.537.197,113.317.150.033,117.397.946.340,5.237.740.890,113317150033.0,117397946340.0,5237740890.0
1.812.366.287,VND > 1.812.366.287,1.812.366.287,26.414.146.589,24.078.900.945,4.147.611.931,26414146589.0,24078900945.0,4147611931.0
-,VND > -,-,323.133.248,323.133.248,-,323133248.0,323133248.0,
128.112.058.142,VND > 128.112.058.142,128.112.058.142,2.384.036.176.396,2.325.577.628.087,186.570.606.451,2384036176396.0,2325577628087.0,186570606451.0
