row_label_raw,row_label_full,Ông Hoàng Nam Tiến > Bà Chu Thị Thanh Hà,Chủ tịch (bổ nhiệm ngày 03 tháng 3 năm 2020) > Chủ tịch (miễn nhiệm ngày 03 tháng 3 năm 2020),numeric__Chủ tịch (bổ nhiệm ngày 03 tháng 3 năm 2020) > Chủ tịch (miễn nhiệm ngày 03 tháng 3 năm 2020)
,,,Thành viên,
Ông Trường Gia Bình,Ông Trường Gia Bình,Ông Trường Gia Bình,Thành viên,
Bà Lê Ngọc Diệp,Bà Lê Ngọc Diệp,Bà Lê Ngọc Diệp,Thành viên,
Ông Nguyễn Văn Khoa,Ông Nguyễn Văn Khoa,Ông Nguyễn Văn Khoa,Thành viên,
Ông Phạm Công Minh,Ông Phạm Công Minh,Ông Phạm Công Minh,Thành viên,
Ông Bùi Quang Ngọc,Ông Bùi Quang Ngọc,Ông Bùi Quang Ngọc,Thành viên (miễn nhiệm ngày 03 tháng 3 năm 2020),
