row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,25,11.552.202.993.487,10.471.610.837.957,,1.0,25.0,11552202993487.0,10471610837957.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,25,86.048.778.885,73.184.080.848,,2.0,25.0,86048778885.0,73184080848.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,25,11.466.154.214.602,10.398.426.757.109,,10.0,25.0,11466154214602.0,10398426757109.0
4.,4.,4.,Giá vốn hàng bán và dịch vụ cung cấp,11,26,5.741.082.917.095,5.342.392.704.451,,11.0,26.0,5741082917095.0,5342392704451.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,5.725.071.297.507,5.056.034.052.658,,20.0,,5725071297507.0,5056034052658.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,28,354.268.786.060,266.886.134.091,,21.0,28.0,354268786060.0,266886134091.0
7.,7.,7.,Chi phí tài chính,22,29,255.671.428.972,215.486.846.509,,22.0,29.0,255671428972.0,215486846509.0
,,,- Trong đó: Chi phí lãi vay,23,,242.652.884.344,210.056.968.511,,23.0,,242652884344.0,210056968511.0
8.,8.,8.,Chi phí bán hàng,25,,1.493.198.318.513,1.138.256.795.689,,25.0,,1493198318513.0,1138256795689.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,,2.266.716.371.805,2.166.671.769.608,,26.0,,2266716371805.0,2166671769608.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,2.063.753.964.277,1.802.504.774.943,,30.0,,2063753964277.0,1802504774943.0
11.,11.,11.,Thu nhập khác,31,,19.279.669.830,10.871.328.607,,31.0,,19279669830.0,10871328607.0
12.,12.,12.,Chi phí khác,32,,8.997.696.622,5.222.941.220,,32.0,,8997696622.0,5222941220.0
13.,13.,13.,Lợi nhuận khác (40=31-32),40,,10.281.973.208,5.648.387.387,,40.0,,10281973208.0,5648387387.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,2.074.035.937.485,1.808.153.162.330,,50.0,,2074035937485.0,1808153162330.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,30,436.076.164.198,344.935.615.565,,51.0,30.0,436076164198.0,344935615565.0
16.,16.,16.,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,52,,(25.940.518.965),-,,52.0,,-25940518965.0,
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,1.663.900.292.252,1.463.217.546.765,,60.0,,1663900292252.0,1463217546765.0
,,,Trong đó:,,,,,,,,,
,,,Lợi nhuận sau thuế của cổ đông Công ty mẹ,61,,1.575.015.720.730,1.351.359.851.256,,61.0,,1575015720730.0,1351359851256.0
,,,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,88.884.571.522,111.857.695.509,,62.0,,88884571522.0,111857695509.0
18.,18.,18.,Lãi cơ bản trên cổ phiếu,70,31,,4.375,,70.0,31.0,,4375.0
