row_label_raw,row_label_full,Lợi nhuận trong năm phân bố cho các cố đông sở hữu cố phiếu phổ thông của Công ty (VND),Năm nay > 1.575.015.720.730,Năm trước(Trình bày lại) > 1.351.359.851.256,numeric__Năm nay > 1.575.015.720.730,numeric__Năm trước(Trình bày lại) > 1.351.359.851.256
"- Trích Quỹ Khen thưởng, phúc lợi từ lợi nhuận Công ty theo Nghị quyết Đại hội đồng Cố đông (VND)","- Trích Quỹ Khen thưởng, phúc lợi từ lợi nhuận Công ty theo Nghị quyết Đại hội đồng Cố đông (VND)","- Trích Quỹ Khen thưởng, phúc lợi từ lợi nhuận Công ty theo Nghị quyết Đại hội đồng Cố đông (VND)",(161.665.416.151),(154.289.782.999),-161665416151.0,-154289782999.0
Lợi nhuận để tính lãi cơ bản trên cố phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cố phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cố phiếu (VND),1.413.350.304.579,1.197.070.068.257,1413350304579.0,1197070068257.0
Số cố phiếu phổ thông đang lưu hành bình quân trong năm (cố phiếu),Số cố phiếu phổ thông đang lưu hành bình quân trong năm (cố phiếu),Số cố phiếu phổ thông đang lưu hành bình quân trong năm (cố phiếu),273.616.446,273.616.446,273616446.0,273616446.0
Lãi cơ bản trên cố phiếu (VND/cố phiếu),Lãi cơ bản trên cố phiếu (VND/cố phiếu),Lãi cơ bản trên cố phiếu (VND/cố phiếu),5.165,4.375,5165.0,4375.0
