row_label_raw,row_label_full,col_0,Nhà xuǒngvà vǎt kiěn trúc,Máy mócvà thiết bị,Thiết bịquản lý,Phương tiệnvận tải,Tổng,numeric__Nhà xuǒngvà vǎt kiěn trúc,numeric__Máy mócvà thiết bị,numeric__Thiết bịquản lý,numeric__Phương tiệnvận tải,numeric__Tổng
,,,VND,VND,VND,VND,VND,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,170.763.663.887,7.639.750.543.409,284.385.695.000,21.048.323.111,8.115.948.225.407,170763663887.0,7639750543409.0,284385695000.0,21048323111.0,8115948225407.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,33.615.670.653,1.505.877.029.952,11.038.168.334,4.091.665.908,1.554.622.534.847,33615670653.0,1505877029952.0,11038168334.0,4091665908.0,1554622534847.0
Tăng do mua sắm,NGUYÊN GIÁ > Tăng do mua sắm,Tăng do mua sắm,-,1.432.141.054.590,4.274.318.045,4.162.190.908,1.440.577.563.543,,1432141054590.0,4274318045.0,4162190908.0,1440577563543.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,34.219.183.356,70.898.231.689,-,-,105.117.415.045,34219183356.0,70898231689.0,,,105117415045.0
Phân loại lại từ tài sản cố định vô hình,NGUYÊN GIÁ > Phân loại lại từ tài sản cố định vô hình,Phân loại lại từ tài sản cố định vô hình,-,-,4.640.578.423,-,4.640.578.423,,,4640578423.0,,4640578423.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(603.512.703),2.837.743.673,(2.163.705.970),(70.525.000),-,-603512703.0,2837743673.0,-2163705970.0,-70525000.0,
Tăng khác,NGUYÊN GIÁ > Tăng khác,Tăng khác,-,-,4.286.977.836,-,4.286.977.836,,,4286977836.0,,4286977836.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,-,(894.612.890.763),(42.494.143.207),(4.732.060.280),(941.839.094.250),,-894612890763.0,-42494143207.0,-4732060280.0,-941839094250.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(60.491.495),(4.732.060.280),(4.792.551.775),,,-60491495.0,-4732060280.0,-4792551775.0
Thu hồi nhập kho,NGUYÊN GIÁ > Thu hồi nhập kho,Thu hồi nhập kho,-,(894.612.890.763),(42.433.651.712),-,(937.046.542.475),,-894612890763.0,-42433651712.0,,-937046542475.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,204.379.334.540,8.251.014.682.598,252.929.720.127,20.407.928.739,8.728.731.666.004,204379334540.0,8251014682598.0,252929720127.0,20407928739.0,8728731666004.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,52.657.206.953,3.607.702.519.816,272.727.451.281,15.698.466.627,3.948.785.644.677,52657206953.0,3607702519816.0,272727451281.0,15698466627.0,3948785644677.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,6.124.984.976,1.001.388.268.775,12.035.029.968,1.723.350.524,1.021.271.634.243,6124984976.0,1001388268775.0,12035029968.0,1723350524.0,1021271634243.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,8.465.432.422,996.896.578.538,5.397.717.213,1.840.074.540,1.012.599.802.713,8465432422.0,996896578538.0,5397717213.0,1840074540.0,1012599802713.0
Phân loại lại từ tài sản cố định vô hình,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại từ tài sản cố định vô hình,Phân loại lại từ tài sản cố định vô hình,-,-,4.640.578.423,-,4.640.578.423,,,4640578423.0,,4640578423.0
