row_label_raw,row_label_full,Chỉ tiêu,An Giang,Đồng Tháp,Khu vực khác,Tổng cộng,An Giang_1,Đồng Tháp_1,Khu vực khác_1,Tổng cộng_1,numeric__An Giang,numeric__Đồng Tháp,numeric__Khu vực khác,numeric__Tổng cộng,numeric__An Giang_1,numeric__Đồng Tháp_1,numeric__Khu vực khác_1,numeric__Tổng cộng_1
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,10.460.377.406.172,10.978.674.417.429,474.567.748.294,21.913.619.571.895,8.891.097.472.036,10.055.794.192.114,448.151.850.699,19.395.043.514.849,10460377406172.0,10978674417429.0,474567748294.0,21913619571895.0,8891097472036.0,10055794192114.0,448151850699.0,19395043514849.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,942.436.057.272,,,,912.409.643.730,,,,942436057272.0,,,,912409643730.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,10.460.377.406.172,10.978.674.417.429,474.567.748.294,22.856.055.629.167,8.891.097.472.036,10.055.794.192.114,448.151.850.699,20.307.453.158.579,10460377406172.0,10978674417429.0,474567748294.0,22856055629167.0,8891097472036.0,10055794192114.0,448151850699.0,20307453158579.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,7.612.214.328.318,6.574.809.474.546,404.999.524.743,14.592.023.327.607,6.724.884.772.872,5.153.362.964.708,432.760.158.027,12.311.007.895.607,7612214328318.0,6574809474546.0,404999524743.0,14592023327607.0,6724884772872.0,5153362964708.0,432760158027.0,12311007895607.0
Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,,,,7.114.090.503.721,,,,4.447.361.535.090,,,,7114090503721.0,,,,4447361535090.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,7.612.214.328.318,6.574.809.474.546,404.999.524.743,21.706.113.831.328,6.724.884.772.872,5.153.362.964.708,432.760.158.027,16.758.369.430.697,7612214328318.0,6574809474546.0,404999524743.0,21706113831328.0,6724884772872.0,5153362964708.0,432760158027.0,16758369430697.0
b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,,,,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,,,Điện mặt trời,Bất động sản,Xây dựng,Thương mại,Doanh thu khác,Tổng,,,,,,,,
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,,,786.031.125.551,63.497.680.658,,4.124.012.295.744,7.039.576.788.047,12.013.117.890.000,,,786031125551.0,63497680658.0,,4124012295744.0,7039576788047.0,12013117890000.0
Tài sản bộ phận,Năm nay > Tài sản bộ phận,Tài sản bộ phận,,,5.078.198.236.424,4.058.012.224.628,166.193.062.958,1.099.796.481.999,12.453.855.623.158,22.856.055.629.167,,,5078198236424.0,4058012224628.0,166193062958.0,1099796481999.0,12453855623158.0,22856055629167.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Năm nay > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,,,(254.360.620.505),,,,,,,,-254360620505.0
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,,,Điện mặt trời,Bất động sản,Xây dựng,Thương mại,Doanh thu khác,Tổng,,,,,,,,
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm trước > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,,,751.174.089.304,75.072.911.194,,2.980.204.399.913,8.166.702.351.696,11.973.153.752.107,,,751174089304.0,75072911194.0,,2980204399913.0,8166702351696.0,11973153752107.0
Tài sản bộ phận,Năm trước > Tài sản bộ phận,Tài sản bộ phận,,,5.048.171.822.882,4.031.637.528.810,166.151.861.181,1.097.528.463.539,9.963.963.482.167,20.307.453.158.579,,,5048171822882.0,4031637528810.0,166151861181.0,1097528463539.0,9963963482167.0,20307453158579.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Năm trước > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,,,(239.077.925.477),,,,,,,,-239077925477.0
