row_label_raw,row_label_full,col_0,Giá trị,Lãi suất,Kỳ hạn,Giá trị_1,Lãi suất_1,Kỳ hạn_1,numeric__Giá trị,numeric__Lãi suất,numeric__Kỳ hạn,numeric__Giá trị_1,numeric__Lãi suất_1,numeric__Kỳ hạn_1
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,,,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,,,
+ Trái phiếu,Dài hạn > + Trái phiếu,+ Trái phiếu,964.854.706.521,,,,,,964854706521.0,,,,,
Trái phiếu phát hành,Dài hạn > Trái phiếu phát hành,Trái phiếu phát hành,1.000.000.000.000,5.575%/năm,96 tháng,,,,1000000000000.0,,,,,
Phân bổ chi phí trái phiếu,Dài hạn > Phân bổ chi phí trái phiếu,Phân bổ chi phí trái phiếu,(35.145.293.479),,,,,,-35145293479.0,,,,,
Cộng,Dài hạn > Cộng,Cộng,964.854.706.521,,,,,,964854706521.0,,,,,
