row_label_raw,row_label_full,Closing balance,< 1 year,01 - 05 years,>5 years,Total,numeric__< 1 year,numeric__01 - 05 years,numeric__>5 years,numeric__Total
Trade payables,Trade payables,Trade payables,"464,666,728,448",,,"464,666,728,448",,,,
Advances from customers,Advances from customers,Advances from customers,"229,941,996,542",,,"229,941,996,542",,,,
Borrowings and debts,Borrowings and debts,Borrowings and debts,"6,759,017,748,781","4,605,192,125,610","2,311,686,651,800","13,675,896,526,191",,,,
Convertible bonds,Convertible bonds,Convertible bonds,,,,,,,,
Accrued expenses,Accrued expenses,Accrued expenses,"64,583,859,792",,,"64,583,859,792",,,,
Other payables,Other payables,Other payables,"83,772,214,762","3,294,000,000",,"87,066,214,762",,,,
Total,Total,Total,"7,601,982,548,325","4,608,486,125,610","2,311,686,651,800","14,522,155,325,735",,,,
