row_label_raw,row_label_full,Item,Opening balance,Increase,Decrease,Closing balance,numeric__Opening balance,numeric__Increase,numeric__Decrease,numeric__Closing balance
a) Investment properties for lease,a) Investment properties for lease,a) Investment properties for lease,a) Investment properties for lease,a) Investment properties for lease,a) Investment properties for lease,a) Investment properties for lease,,,,
Historical cost,Historical cost,Historical cost,"633,051,196,259","37,171,750,041","12,868,905,277","657,354,041,023",,,,
- Land use rights,- Land use rights,- Land use rights,"237,739,245,495",,"12,868,905,277","224,870,340,218",,,,
- Housing,- Housing,- Housing,"395,311,950,764","37,171,750,041",,"432,483,700,805",,,,
- Housing and land use rights,- Housing and land use rights,- Housing and land use rights,,,,,,,,
- Infrastructure,- Infrastructure,- Infrastructure,,,,,,,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,"135,036,648,839","16,555,943,943","2,843,740,035","148,748,852,747",,,,
- Land use rights,- Land use rights,- Land use rights,"3,527,312,430","392,211,852",,"3,919,524,282",,,,
- Housing,- Housing,- Housing,"131,509,336,409","16,163,732,091","2,843,740,035","144,829,328,465",,,,
- Housing and land use rights,- Housing and land use rights,- Housing and land use rights,,,,,,,,
- Infrastructure,- Infrastructure,- Infrastructure,,,,,,,,
Net book value,Net book value,Net book value,"498,014,547,420",,,"508,605,188,276",,,,
- Land use rights,- Land use rights,- Land use rights,"234,211,933,065",,,"220,950,815,936",,,,
- Housing,- Housing,- Housing,"263,802,614,355",,,"287,654,372,340",,,,
- Housing and land use rights,- Housing and land use rights,- Housing and land use rights,,,,,,,,
- Infrastructure,- Infrastructure,- Infrastructure,,,,,,,,
b) Property held for capital appreciation,b) Property held for capital appreciation,b) Property held for capital appreciation,b) Property held for capital appreciation,b) Property held for capital appreciation,b) Property held for capital appreciation,b) Property held for capital appreciation,,,,
Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,,,,
- Land use rights,- Land use rights,- Land use rights,,,,,,,,
- Housing,- Housing,- Housing,,,,,,,,
- Housing and land use rights,- Housing and land use rights,- Housing and land use rights,,,,,,,,
- Infrastructure,- Infrastructure,- Infrastructure,,,,,,,,
Losses due to devaluation of,Losses due to devaluation of,Losses due to devaluation of,Losses due to devaluation of,Losses due to devaluation of,Losses due to devaluation of,Losses due to devaluation of,,,,
- Land use rights,- Land use rights,- Land use rights,,,,,,,,
- Housing,- Housing,- Housing,,,,,,,,
- Housing and land use rights,- Housing and land use rights,- Housing and land use rights,,,,,,,,
- Infrastructure,- Infrastructure,- Infrastructure,,,,,,,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,,
- Land use rights,- Land use rights,- Land use rights,,,,,,,,
- Housing,- Housing,- Housing,,,,,,,,
- Housing and land use rights,- Housing and land use rights,- Housing and land use rights,,,,,,,,
- Infrastructure,- Infrastructure,- Infrastructure,,,,,,,,
