row_label_raw,row_label_full,Item,"Buildings, structures","Machinery, equipment",Transportation equipment,Total,"numeric__Buildings, structures","numeric__Machinery, equipment",numeric__Transportation equipment,numeric__Total
Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,,,,
Opening balance,Opening balance,Opening balance,"11,070,071,709","435,769,089,523","16,442,057,444","463,281,218,676",,,,
Increase,Increase,Increase,,,,,,,,
- Additions,- Additions,- Additions,,,,,,,,
- Other increases,- Other increases,- Other increases,,,,,,,,
Decrease,Decrease,Decrease,,"32,116,195,152",,"32,116,195,152",,,,
- Return of finance lease fixed assets,- Return of finance lease fixed assets,- Return of finance lease fixed assets,,"32,116,195,152",,"32,116,195,152",,,,
- Other decreases,- Other decreases,- Other decreases,,,,,,,,
Closing balance,Closing balance,Closing balance,"11,070,071,709","403,652,894,371","16,442,057,444","431,165,023,524",,,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,,
Opening balance,Opening balance,Opening balance,"4,969,795,311","86,279,557,573","6,138,821,970","97,388,174,854",,,,
Increase,Increase,Increase,"2,592,936,690","43,195,314,260","2,486,310,227","48,274,561,177",,,,
- Depreciation,- Depreciation,- Depreciation,"2,592,936,690","43,195,314,260","2,486,310,227","48,274,561,177",,,,
- Other increases,- Other increases,- Other increases,,,,,,,,
Decrease,Decrease,Decrease,,"25,134,413,590",,"25,134,413,590",,,,
- Return of finance lease fixed assets,- Return of finance lease fixed assets,- Return of finance lease fixed assets,,"25,134,413,590",,"25,134,413,590",,,,
- Other decreases,- Other decreases,- Other decreases,,,,,,,,
Closing balance,Closing balance,Closing balance,"7,562,732,001","104,340,458,243","8,625,132,197","120,528,322,441",,,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,,
Opening balance,Opening balance,Opening balance,"6,100,276,398","349,489,531,950","10,303,235,474","365,893,043,822",,,,
Closing balance,Closing balance,Closing balance,"3,507,339,708","299,312,436,128","7,816,925,247","310,636,701,083",,,,
