row_label_raw,row_label_full,col_0,Ending Balance,Beginning Balance,numeric__Ending Balance,numeric__Beginning Balance
a) Short - term,a) Short - term,a) Short - term,"2,595,626,008,791","2,227,734,351,392",,
Other parties,Other parties,Other parties,"2,595,626,008,791","2,227,734,351,392",,
+ Vistar Corporation,+ Vistar Corporation,+ Vistar Corporation,"74,153,508,915","57,717,750,410",,
+ Tan Chau residential area clearance board,+ Tan Chau residential area clearance board,+ Tan Chau residential area clearance board,"275,925,249,700","255,547,112,700",,
+ Land Clearance Project Management Board (BK4 Compensation),+ Land Clearance Project Management Board (BK4 Compensation),+ Land Clearance Project Management Board (BK4 Compensation),"149,807,611,000","149,807,611,000",,
+ Land Clearance Project Management Board (Lam Son - Sao Vang - Tho Xuan Project),+ Land Clearance Project Management Board (Lam Son - Sao Vang - Tho Xuan Project),+ Land Clearance Project Management Board (Lam Son - Sao Vang - Tho Xuan Project),"22,452,693,000","16,803,682,000",,
"+ Land Clearance Project Council Trieu Son district (Minh Son urban area, Giat)","+ Land Clearance Project Council Trieu Son district (Minh Son urban area, Giat)","+ Land Clearance Project Council Trieu Son district (Minh Son urban area, Giat)","11,444,933,968","4,106,650,968",,
+ Clean Aquatic Product Seafood Export Corp,+ Clean Aquatic Product Seafood Export Corp,+ Clean Aquatic Product Seafood Export Corp,"70,493,885,724","91,386,814,165",,
+ Asia Fish Oil Corporation,+ Asia Fish Oil Corporation,+ Asia Fish Oil Corporation,"15,041,810,050","15,041,810,050",,
+ Veryfy & Global Investment One Member Company Limited,+ Veryfy & Global Investment One Member Company Limited,+ Veryfy & Global Investment One Member Company Limited,"99,105,667,005",,,
+ Le Dinh Manh,+ Le Dinh Manh,+ Le Dinh Manh,"24,671,156,908","21,642,315,077",,
+ Le Van Thuong,+ Le Van Thuong,+ Le Van Thuong,"87,082,815,560","87,082,815,560",,
+ Tran Huy,+ Tran Huy,+ Tran Huy,"61,000,000,000","61,000,000,000",,
+ Others,+ Others,+ Others,"1,704,446,676,961","1,467,597,789,462",,
Related parties,Related parties,Related parties,,,,
b) Long - term,b) Long - term,b) Long - term,"14,500,000",,,
+ Others,+ Others,+ Others,"14,500,000",,,
Total,Total,Total,"2,595,640,508,791","2,227,734,351,392",,
