row_label_raw,row_label_full,col_0,Current year,Previous year,numeric__Current year,numeric__Previous year
- Owner's invested capital,- Owner's invested capital,- Owner's invested capital,,,,
+ At the beginning of year,+ At the beginning of year,+ At the beginning of year,"3,365,267,520,000","3,365,267,520,000",,
+ Increase in the year due to stock dividend,+ Increase in the year due to stock dividend,+ Increase in the year due to stock dividend,"336,514,980,000",,,
+ Decrease in the year,+ Decrease in the year,+ Decrease in the year,,,,
+ At end of year,+ At end of year,+ At end of year,"3,701,782,500,000","3,365,267,520,000",,
- Dividends or distributed profits,- Dividends or distributed profits,- Dividends or distributed profits,"336,514,980,000",,,
24. 4. Shares,24. 4. Shares,24. 4. Shares,Ending Balance,Beginning Balance,,
Number of shares authorised to be issued,Number of shares authorised to be issued,Number of shares authorised to be issued,,,,
Number of shares sold out to the public,Number of shares sold out to the public,Number of shares sold out to the public,"370,178,250","336,526,752",,
- Ordinary share,- Ordinary share,- Ordinary share,"370,178,250","336,526,752",,
- Preferred share,- Preferred share,- Preferred share,,,,
Number of repurchased shares,Number of repurchased shares,Number of repurchased shares,,,,
- Ordinary share,- Ordinary share,- Ordinary share,,,,
- Preferred share,- Preferred share,- Preferred share,,,,
Number of shares outstanding,Number of shares outstanding,Number of shares outstanding,"370,178,250","336,526,752",,
- Ordinary share,- Ordinary share,- Ordinary share,"370,178,250","336,526,752",,
- Preferred share,- Preferred share,- Preferred share,,,,
"Par value of shares outstanding: 10,000 VND/ share","Par value of shares outstanding: 10,000 VND/ share","Par value of shares outstanding: 10,000 VND/ share","Par value of shares outstanding: 10,000 VND/ share","Par value of shares outstanding: 10,000 VND/ share",,
