row_label_raw,row_label_full,05 . FINANCIAL EXPENSE,Current year,Previous year,numeric__Current year,numeric__Previous year
Interest expense,Interest expense,Interest expense,"661,139,329,878","741,754,262,109",,
Payment discounts or interests of sale under deferred payment,Payment discounts or interests of sale under deferred payment,Payment discounts or interests of sale under deferred payment,"83,465,000","126,337,800",,
Foreign exchange loss,Foreign exchange loss,Foreign exchange loss,"57,458,599,683","47,030,729,750",,
Provisions for decline in value of trading securities and investment impairment,Provisions for decline in value of trading securities and investment impairment,Provisions for decline in value of trading securities and investment impairment,,"2,144,233,709",,
Reversal of provision,Reversal of provision,Reversal of provision,"(561,988,450)","(3,311,223,018)",,
Others,Others,Others,"3,843,526,354","3,613,584,775",,
Total,Total,Total,"721,962,932,465","791,357,925,125",,
