row_label_raw,row_label_full,Code,ASSETS,Note,Ending Balance,Beginning Balance,numeric__ASSETS,numeric__Note,numeric__Ending Balance,numeric__Beginning Balance
100,100,100,A. SHORT-TERM ASSETS,,"13,566,530,226,970","11,090,130,251,092",,,,
110,110,110,I. Cash and cash equivalents,V.01,"2,070,302,439,363","1,365,023,440,747",,,,
111,111,111,1. Cash,,"899,822,444,310","444,940,009,860",,,,
112,112,112,2. Cash equivalents,,"1,170,479,995,053","920,083,430,887",,,,
120,120,120,II. Short-term financial investments,V.02,"2,064,880,437,306","981,956,468,827",,,,
121,121,121,1. Trading securities,,"6,230,107,978","6,509,116,329",,,,
122,122,122,2. Provision for decrease in value of trading securities (*),,"(754,621,703)","(1,316,610,153)",,,,
123,123,123,3. Held-to-maturity investments,,"2,059,404,951,031","976,763,962,654",,,,
130,130,130,III. Short-term receivables,,"5,031,730,928,926","4,132,251,499,975",,,,
131,131,131,1. Short-term trade receivables,V.03,"2,183,060,421,709","1,663,264,889,610",,,,
132,132,132,2. Prepayments to suppliers in short-term,V.04,"2,595,626,008,791","2,227,719,851,392",,,,
133,133,133,3. Short-term intercompany receivables,,,,,,,
134,134,134,4. Construction contract-in-progress receivables,,,,,,,
135,135,135,5. Receivables from short-term loans,,,,,,,
136,136,136,6. Other short-term receivables,V.05,"320,946,430,834","309,491,354,018",,,,
137,137,137,7. Provision for doubtful short-term receivables (*),V.06,"(67,901,932,408)","(68,230,333,658)",,,,
139,139,139,8. Shortage of assets awaiting resolution,,,"5,738,613",,,,
140,140,140,IV. Inventories,V.07,"4,336,236,325,169","4,556,408,772,709",,,,
141,141,141,1. Inventories,,"4,336,236,325,169","4,556,715,893,604",,,,
149,149,149,2. Provision for decline in value of inventories (*),,,"(307,120,895)",,,,
150,150,150,V. Other short-term assets,,"63,380,096,206","54,490,068,834",,,,
151,151,151,1. Short-term prepaid expenses,V.13,"11,640,987,304","3,732,450,897",,,,
152,152,152,2. Deductible VAT,,"48,220,794,758","48,306,150,609",,,,
153,153,153,3. Taxes and other receivables from the State Budget,V.15,"3,518,314,144","2,451,467,328",,,,
154,154,154,4. Purchase and resale of government bonds,,,,,,,
155,155,155,5. Other current assets,,,,,,,
