row_label_raw,row_label_full,24. 2. Details of contributed capital,24. 2. Details of contributed capital_1,24. 2. Details of contributed capital_2,24. 2. Details of contributed capital_3,24. 2. Details of contributed capital_4,numeric__24. 2. Details of contributed capital_1,numeric__24. 2. Details of contributed capital_2,numeric__24. 2. Details of contributed capital_3,numeric__24. 2. Details of contributed capital_4
,,,Ending Balance,%,Beginning Balance,%,,,,
Parent company,Parent company,Parent company,,,,,,,,
Other entities,Parent company > Other entities,Other entities,"3,701,782,500,000",100.00%,"3,365,267,520,000",100.00%,,100.0,,100.0
Total,Parent company > Total,Total,"3,701,782,500,000",100.00%,"3,365,267,520,000",100.00%,,100.0,,100.0
