row_label_raw,row_label_full,"Thanh lý, nhượng bán, CCDC, TSCĐ",66.223.636,1.890.635.520,numeric__66.223.636,numeric__1.890.635.520
Thu nhập từ cho thuê tài sản,Thu nhập từ cho thuê tài sản,Thu nhập từ cho thuê tài sản,2.306.526.568,6.182.082.905,2306526568.0,6182082905.0
Tiền phạt thu được,Tiền phạt thu được,Tiền phạt thu được,286.427.000,2.077.484.000,286427000.0,2077484000.0
Các khoản khác,Các khoản khác,Các khoản khác,14.222.035.864,7.943.734.780,14222035864.0,7943734780.0
Cộng,Cộng,Cộng,16.881.213.068,18.093.937.205,16881213068.0,18093937205.0
