row_label_raw,row_label_full,17. TRADE PAYABLE,Ending Balance,Ending Balance_1,Beginning Balance,Beginning Balance_1,numeric__Ending Balance,numeric__Ending Balance_1,numeric__Beginning Balance,numeric__Beginning Balance_1
17. TRADE PAYABLE,17. TRADE PAYABLE,17. TRADE PAYABLE,Value,Recoverable value,Value,Recoverable value,,,,
a) Short-term trade payables,a) Short-term trade payables,a) Short-term trade payables,"464,666,728,448","464,666,728,448","520,907,086,114","520,907,086,114",,,,
Other parties,Other parties,Other parties,,,,,,,,
"+ Trading Import & Export Khai Anh -Binh Thuan Co.,ltd","+ Trading Import & Export Khai Anh -Binh Thuan Co.,ltd","+ Trading Import & Export Khai Anh -Binh Thuan Co.,ltd",,,"65,462,437,550","65,462,437,550",,,,
"+ Truong Thang Co.,ltd","+ Truong Thang Co.,ltd","+ Truong Thang Co.,ltd","1,721,504,600","1,721,504,600","1,721,859,580","1,721,859,580",,,,
+ STERLING AND WILSON PRIVATE LIMITED,+ STERLING AND WILSON PRIVATE LIMITED,+ STERLING AND WILSON PRIVATE LIMITED,"24,876,982,503","24,876,982,503","24,876,982,503","24,876,982,503",,,,
+ Trang An Corp,+ Trang An Corp,+ Trang An Corp,,,"12,654,607,500","12,654,607,500",,,,
"+ Thai Thi Thu Hanh One member Co., LTD","+ Thai Thi Thu Hanh One member Co., LTD","+ Thai Thi Thu Hanh One member Co., LTD","2,753,488,700","2,753,488,700","6,689,746,812","6,689,746,812",,,,
+ Ocean Ship Logistic and Trading Company Limited,+ Ocean Ship Logistic and Trading Company Limited,+ Ocean Ship Logistic and Trading Company Limited,"28,022,356,922","28,022,356,922","9,178,810,509","9,178,810,509",,,,
+ Clean Food Import - Export JSC,+ Clean Food Import - Export JSC,+ Clean Food Import - Export JSC,"11,008,030,089","11,008,030,089","11,006,530,179","11,006,530,179",,,,
+ Verify & Global Investment One member Company Limited,+ Verify & Global Investment One member Company Limited,+ Verify & Global Investment One member Company Limited,,,"46,213,547,000","46,213,547,000",,,,
+ Chau Vinh Vien ( land use right of Ca Mau city ),+ Chau Vinh Vien ( land use right of Ca Mau city ),+ Chau Vinh Vien ( land use right of Ca Mau city ),"50,000,200","50,000,200","50,000,200","50,000,200",,,,
+ Nguyen Tan Dam ( land use right of Ca Mau city ),+ Nguyen Tan Dam ( land use right of Ca Mau city ),+ Nguyen Tan Dam ( land use right of Ca Mau city ),"75,198,170,000","75,198,170,000","75,198,170,000","75,198,170,000",,,,
+ Sinohydro,+ Sinohydro,+ Sinohydro,"1,515,143,508","1,515,143,508","1,515,143,508","1,515,143,508",,,,
+ Others,+ Others,+ Others,"319,521,051,926","319,521,051,926","266,339,250,773","266,339,250,773",,,,
Related parties,Related parties,Related parties,,,,,,,,
b) Long-term trade payables,b) Long-term trade payables,b) Long-term trade payables,,,,,,,,
Total,Total,Total,"464,666,728,448","464,666,728,448","520,907,086,114","520,907,086,114",,,,
