row_label_raw,row_label_full,(**) Thông tin trình bày bổ sung chi tiết các khoản vay dài hạn (tiếp theo),(**) Thông tin trình bày bổ sung chi tiết các khoản vay dài hạn (tiếp theo)_1,(**) Thông tin trình bày bổ sung chi tiết các khoản vay dài hạn (tiếp theo)_2,numeric__(**) Thông tin trình bày bổ sung chi tiết các khoản vay dài hạn (tiếp theo)_1,numeric__(**) Thông tin trình bày bổ sung chi tiết các khoản vay dài hạn (tiếp theo)_2
Ngân hàng ACB,Ngân hàng ACB,Ngân hàng ACB,796.000.000,1.324.000.000,796000000.0,1324000000.0
Ngân hàng Xăng Dầu Petrolimex,Ngân hàng Xăng Dầu Petrolimex,Ngân hàng Xăng Dầu Petrolimex,4.750.000.000,750.000.000,4750000000.0,750000000.0
Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,2.272.500.000,8.332.500.000,2272500000.0,8332500000.0
Ngân hàng TMCP Á Châu,Ngân hàng TMCP Á Châu,Ngân hàng TMCP Á Châu,15.200.000.000,18.000.000.000,15200000000.0,18000000000.0
Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,78.420.000.000,96.900.000.000,78420000000.0,96900000000.0
Ngân hàng First Commercial Bank - CN TP. Hồ Chí Minh,Ngân hàng First Commercial Bank - CN TP. Hồ Chí Minh,Ngân hàng First Commercial Bank - CN TP. Hồ Chí Minh,156.000.000.000,300.000.000.000,156000000000.0,300000000000.0
Ngân hàng China Construction Corporation - CN TP.HCM,Ngân hàng China Construction Corporation - CN TP.HCM,Ngân hàng China Construction Corporation - CN TP.HCM,328.600.000.000,392.600.000.000,328600000000.0,392600000000.0
Vay dài hạn đối tượng khác,Vay dài hạn đối tượng khác,Vay dài hạn đối tượng khác,1.158.629.762.152,797.874.538.025,1158629762152.0,797874538025.0
Tổng cộng:,Tổng cộng:,Tổng cộng:,5.906.210.786.005,4.117.434.060.025,5906210786005.0,4117434060025.0
