row_label_raw,row_label_full,Lender,Contract/Debt contract,Maturity/Loan (VND),Maturity/Loan (VND)_1,Outstanding balance,Outstanding balance_1,Term (Month),Interest rate (%),Purpose,Form of security,numeric__Contract/Debt contract,numeric__Maturity/Loan (VND),numeric__Maturity/Loan (VND)_1,numeric__Outstanding balance,numeric__Outstanding balance_1,numeric__Term (Month),numeric__Interest rate (%),numeric__Purpose,numeric__Form of security
Lender,Lender,Lender,Contract/Debt contract,USD,VND,USD,VND,Term (Month),Interest rate (%),Purpose,Form of security,,,,,,,,,
Ho Chi Minh City Development Joint Stock Commercial Bank (Hdbank) - Rach Dua transaction office,Lender > Ho Chi Minh City Development Joint Stock Commercial Bank (Hdbank) - Rach Dua transaction office,Ho Chi Minh City Development Joint Stock Commercial Bank (Hdbank) - Rach Dua transaction office,030/2024PGDRD/HDTD,,"50,000,000",,"50,000,000",According to each debt contract,7.20%,Supplement working capital,Term deposits,,,,,,,7.2,,
China Construction Corporation _ HCM city Branch,Lender > China Construction Corporation _ HCM city Branch,China Construction Corporation _ HCM city Branch,SYND-CCB-FACONT/2023-001,,"397,600,000,000",,"392,600,000,000",96,8.50%,Long An solar power plant project,Mortgage with assets formed from the project,,,,,,96.0,8.5,,
Vietnam Prosperity Joint Stock Commercial Bank (VPBank) - An Giang branch,Lender > Vietnam Prosperity Joint Stock Commercial Bank (VPBank) - An Giang branch,Vietnam Prosperity Joint Stock Commercial Bank (VPBank) - An Giang branch,AGG/22097,,"150,000,000,000",,"139,342,718,570",6,According to each debt contract,Production and business,Land use rights,,,,,,6.0,,,
Indovinabank - Dong Nai Branch,Lender > Indovinabank - Dong Nai Branch,Indovinabank - Dong Nai Branch,IVB - DN/CL/0423/018,,"100,000,000,000",,"72,407,262,991",5,According to each debt contract,Production and business,Shares,,,,,,5.0,,,
BPCE International et Outre-mer SA - HCM City Branch,Lender > BPCE International et Outre-mer SA - HCM City Branch,BPCE International et Outre-mer SA - HCM City Branch,FCA-000736-2024,"2,000,000",,,"46,882,493,584",5,According to each debt contract,Production and business,Term deposits,,,,,,5.0,,,
United Overseas Bank (Vietnam) Limited,Lender > United Overseas Bank (Vietnam) Limited,United Overseas Bank (Vietnam) Limited,UOB/HCMC/CMB/7457/002,"1,000,000",,,"20,377,812,240",4,According to each debt contract,Production and business,Term deposits,,,,,,4.0,,,
Vietnam Joint Stock Commercial Bank for Industry and Trade (Vietinbank) - Dong Thap Branch,Lender > Vietnam Joint Stock Commercial Bank for Industry and Trade (Vietinbank) - Dong Thap Branch,Vietnam Joint Stock Commercial Bank for Industry and Trade (Vietinbank) - Dong Thap Branch,299/2022-HDCVHM/NHCT720-SMSF,,"65,000,000,000",,"66,687,621,618",5,According to each debt contract,Production and business,Land use rights,,,,,,5.0,,,
Vietnam Maritime Commercial Joint Stock Bank - An Giang Branch,Lender > Vietnam Maritime Commercial Joint Stock Bank - An Giang Branch,Vietnam Maritime Commercial Joint Stock Bank - An Giang Branch,112-00018878.01713/2024/HDTD,,"100,000,000,000",,"41,858,047,780",6,According to each debt contract,Production and business,"Land use rights, Shares",,,,,,6.0,,,
Tien Phong Commercial Joint Stock Bank - An Giang Branch,Lender > Tien Phong Commercial Joint Stock Bank - An Giang Branch,Tien Phong Commercial Joint Stock Bank - An Giang Branch,11/2024/HDTD/AGG,,"200,000,000,000",,"10,242,734,420",6,According to each debt contract,Production and business,Land use rights,,,,,,6.0,,,
