row_label_raw,row_label_full,col_0,Vốn góp của CSH,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Các quỹ thuộc vốn chủ sở hữu,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Nguồn kinh phí và quỹ khác,Cộng,numeric__Vốn góp của CSH,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Các quỹ thuộc vốn chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Nguồn kinh phí và quỹ khác,numeric__Cộng
Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,,,,,,,,
Tại ngày 01/01/2023,Năm 2023 > Tại ngày 01/01/2023,Tại ngày 01/01/2023,3.365.267.520.000,45.104.200.000,341.715.380.976,143.551.320.566,1.314.266.286.158,2.619.650.131.723,10.263.385.100,7.839.818.224.523,3365267520000.0,45104200000.0,341715380976.0,143551320566.0,1314266286158.0,2619650131723.0,10263385100.0,7839818224523.0
Lãi trong kỳ trước,Năm 2023 > Lãi trong kỳ trước,Lãi trong kỳ trước,,,,,195.034.280.361,56.665.090.851,,251.699.371.212,,,,,195034280361.0,56665090851.0,,251699371212.0
Tăng khác,Năm 2023 > Tăng khác,Tăng khác,,,,,91.107.781,52.384.642,,143.492.423,,,,,91107781.0,52384642.0,,143492423.0
Trích quỹ từ lợi nhuận,Năm 2023 > Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,16.450.876.108,(21.007.784.011),(2.434.592.097),,(6.991.500.000),,,,16450876108.0,-21007784011.0,-2434592097.0,,-6991500000.0
Chia cổ tức,Năm 2023 > Chia cổ tức,Chia cổ tức,,,,,(8.160.322.528),,,(8.160.322.528),,,,,-8160322528.0,,,-8160322528.0
Thoái vốn ở Công ty con,Năm 2023 > Thoái vốn ở Công ty con,Thoái vốn ở Công ty con,,,,,,(4.690.383.282),,(4.690.383.282),,,,,,-4690383282.0,,-4690383282.0
Thay đổi lợi ích trong Công ty con,Năm 2023 > Thay đổi lợi ích trong Công ty con,Thay đổi lợi ích trong Công ty con,,,,,(168.148.613.177),(77.388.096.436),,(245.536.709.613),,,,,-168148613177.0,-77388096436.0,,-245536709613.0
Tại ngày 31/12/2023,Năm 2023 > Tại ngày 31/12/2023,Tại ngày 31/12/2023,3.365.267.520.000,45.104.200.000,341.715.380.976,160.002.196.674,1.312.074.954.584,2.591.854.535.401,10.263.385.100,7.826.282.172.735,3365267520000.0,45104200000.0,341715380976.0,160002196674.0,1312074954584.0,2591854535401.0,10263385100.0,7826282172735.0
Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,,,,,,,,
Tại ngày 01/01/2024,Năm 2024 > Tại ngày 01/01/2024,Tại ngày 01/01/2024,3.365.267.520.000,45.104.200.000,341.715.380.976,160.002.196.674,1.312.074.954.584,2.591.854.535.401,10.263.385.100,7.826.282.172.735,3365267520000.0,45104200000.0,341715380976.0,160002196674.0,1312074954584.0,2591854535401.0,10263385100.0,7826282172735.0
Lãi trong kỳ này,Năm 2024 > Lãi trong kỳ này,Lãi trong kỳ này,,,,,180.853.915.747,70.132.722.302,,250.986.638.049,,,,,180853915747.0,70132722302.0,,250986638049.0
Tăng khác,Năm 2024 > Tăng khác,Tăng khác,,,,,13.149.678.885,,,13.149.678.885,,,,,13149678885.0,,,13149678885.0
Trích quỹ từ lợi nhuận,Năm 2024 > Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,13.141.198.568,(16.540.858.993),(1.032.723.276),,(4.432.383.701),,,,13141198568.0,-16540858993.0,-1032723276.0,,-4432383701.0
Vốn góp từ cổ đông công con,Vốn góp từ cổ đông công con,Vốn góp từ cổ đông công con,,,,,,,,,,,,,,,,
Thoái vốn ở Công ty con (1),Vốn góp từ cổ đông công con > Thoái vốn ở Công ty con (1),Thoái vốn ở Công ty con (1),,,,,3.525.783.625,(2.047.448.165),,1.478.335.460,,,,,3525783625.0,-2047448165.0,,1478335460.0
Chia cổ tức bằng cổ phiếu (3),Vốn góp từ cổ đông công con > Chia cổ tức bằng cổ phiếu (3),Chia cổ tức bằng cổ phiếu (3),336.514.980.000,,258.773.274.504,,(595.288.254.504),,,,336514980000.0,,258773274504.0,,-595288254504.0,,,
Chia cổ tức cho cổ đông không kiểm soát của Công ty con,Vốn góp từ cổ đông công con > Chia cổ tức cho cổ đông không kiểm soát của Công ty con,Chia cổ tức cho cổ đông không kiểm soát của Công ty con,,,,,,(8.059.613.142),,(8.059.613.142),,,,,,-8059613142.0,,-8059613142.0
Góp vốn thành lập công ty con (2),Vốn góp từ cổ đông công con > Góp vốn thành lập công ty con (2),Góp vốn thành lập công ty con (2),,,,,,8.330.000.000,,8.330.000.000,,,,,,8330000000.0,,8330000000.0
Tại ngày 31/12/2024,Vốn góp từ cổ đông công con > Tại ngày 31/12/2024,Tại ngày 31/12/2024,3.701.782.500.000,45.104.200.000,600.488.655.480,173.143.395.242,897.775.219.344,2.659.177.473.120,10.263.385.100,8.087.734.828.286,3701782500000.0,45104200000.0,600488655480.0,173143395242.0,897775219344.0,2659177473120.0,10263385100.0,8087734828286.0
