row_label_raw,row_label_full,Lender,Contract/Debt contract,Maturity/Loan (VND),Maturity/Loan (VND)_1,Outstanding balance,Outstanding balance_1,Term (Month),Interest rate (%),Purpose,Form of security,numeric__Contract/Debt contract,numeric__Maturity/Loan (VND),numeric__Maturity/Loan (VND)_1,numeric__Outstanding balance,numeric__Outstanding balance_1,numeric__Term (Month),numeric__Interest rate (%),numeric__Purpose,numeric__Form of security
Lender,Lender,Lender,Contract/Debt contract,USD,VND,USD,VND,Term (Month),Interest rate (%),Purpose,Form of security,,,,,,,,,
Others,Lender > Others,Others,According to each debt contract,,,,"1,026,948,762,152",22,"According to each contract, pay the principal at the end of the period",Serve production and business,Mortgage,,,,,,22.0,,,
Ho Chi Minh City Development Joint Stock Commercial Bank - Rach Dua transaction office (HDBank),Lender > Ho Chi Minh City Development Joint Stock Commercial Bank - Rach Dua transaction office (HDBank),Ho Chi Minh City Development Joint Stock Commercial Bank - Rach Dua transaction office (HDBank),035/24PGDRD-01,,"100,000,000",,"98,856,950",According to each contract,7.2%,Supplement working capital for production,Term deposits,,,,,,,0.72,,
Asia Commercial Joint Stock Bank - Ong Ich Khiem Branch,Lender > Asia Commercial Joint Stock Bank - Ong Ich Khiem Branch,Asia Commercial Joint Stock Bank - Ong Ich Khiem Branch,OIK.DN.4550.250 724 Date 23/08/2024,,"167,000,000,000","3,398,000","86,822,298,000",9,According to each debt-receiving contract,Supplement working capital for production,Term deposits,,,,,,9.0,,,
Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Kien Giang Branch,Lender > Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Kien Giang Branch,Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Kien Giang Branch,01/2024/4426663/ HDTD Date 07/10/2024,,"1,900,000,000,000",,"1,212,555,883,431",8,According to each debt-receiving contract,Supplement working capital for production,"Company inventory, Deposits and other assets",,,,,,8.0,,,
Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Kien Giang Branch,Lender > Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Kien Giang Branch,Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Kien Giang Branch,01/2024/4426663/ HDTD Date 07/10/2024,,,"21,199,300","541,663,314,300",8,According to each debt-receiving contract,Supplement working capital for production,"Company inventory, Deposits and other assets",,,,,,8.0,,,
Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Phu Quoc Branch,Lender > Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Phu Quoc Branch,Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Phu Quoc Branch,01/2024/4426663/ HDTD Date 27/12/2024,,"50,000,000,000",,"50,000,000,000",12,According to each debt-receiving contract,Supplement working capital for production,Term deposits,,,,,,12.0,,,
Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Phu Quoc Branch,Lender > Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Phu Quoc Branch,Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Phu Quoc Branch,01/2024/4426663/ HDTD Date 11/11/2024,,"200,000,000,000",,"22,000,000,000",8,According to each debt-receiving contract,Supplement working capital for production,"Company inventory, Deposits and other assets",,,,,,8.0,,,
Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Phu Quoc Branch,Lender > Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Phu Quoc Branch,Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Phu Quoc Branch,01/2024/4426663/ HDTD Date 11/11/2024,,,"7,009,300","179,094,624,300",8,According to each debt-receiving contract,Supplement working capital for production,"Company inventory, Deposits and other assets",,,,,,8.0,,,
