row_label_raw,row_label_full,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải, truyền dẫn",Thiết bị quản lý,TSCĐ khác,Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải, truyền dẫn",numeric__Thiết bị quản lý,numeric__TSCĐ khác,numeric__Cộng
I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,,,,,,
1. Số dư đầu năm,I. Nguyên giá > 1. Số dư đầu năm,1. Số dư đầu năm,1.935.285.048.335,4.191.611.158.617,120.592.442.901,37.908.705.751,108.937.557.447,6.394.334.913.051,1935285048335.0,4191611158617.0,120592442901.0,37908705751.0,108937557447.0,6394334913051.0
2. Số tăng trong năm,I. Nguyên giá > 2. Số tăng trong năm,2. Số tăng trong năm,177.135.312.041,57.576.135.371,1.091.388.262,1.830.000.879,116.293.182,237.749.129.735,177135312041.0,57576135371.0,1091388262.0,1830000879.0,116293182.0,237749129735.0
- Mua trong năm,I. Nguyên giá > - Mua trong năm,- Mua trong năm,1.141.470.370,25.384.940.219,470.000.000,945.327.731,116.293.182,28.058.031.502,1141470370.0,25384940219.0,470000000.0,945327731.0,116293182.0,28058031502.0
- Đầu tư XDCB hoàn thành,I. Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,175.993.841.671,,621 388 262,884 673 148,,177.499.903.081,175993841671.0,,,,,177499903081.0
- Mua lại TSCĐ thuê tài chính,I. Nguyên giá > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,,32.191.195.152,,,,32.191.195.152,,32191195152.0,,,,32191195152.0
3. Số giảm trong năm,I. Nguyên giá > 3. Số giảm trong năm,3. Số giảm trong năm,444.513.460,43.410.933.785,645.454.546,,,44.500.901.791,444513460.0,43410933785.0,645454546.0,,,44500901791.0
"- Thanh lý, nhượng bán","I. Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",444.513.460,1.111.222.750,645.454.546,,,2.201.190.756,444513460.0,1111222750.0,645454546.0,,,2201190756.0
- Giảm khác,I. Nguyên giá > - Giảm khác,- Giảm khác,,42.299.711.035,,,,42.299.711.035,,42299711035.0,,,,42299711035.0
4. Số dư cuối năm,I. Nguyên giá > 4. Số dư cuối năm,4. Số dư cuối năm,2.111.975.846.916,4.205.776.360.203,121.038.376.617,39.738.706.630,109.053.850.629,6.587.583.140.995,2111975846916.0,4205776360203.0,121038376617.0,39738706630.0,109053850629.0,6587583140995.0
II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,,,,,,
1. Số dư đầu năm,II. Giá trị hao mòn lũy kế > 1. Số dư đầu năm,1. Số dư đầu năm,419.140.557.637,1.079.803.321.761,71.397.639.681,18.188.798.097,26.019.186.393,1.614.549.503.569,419140557637.0,1079803321761.0,71397639681.0,18188798097.0,26019186393.0,1614549503569.0
2. Khấu hao trong năm,II. Giá trị hao mòn lũy kế > 2. Khấu hao trong năm,2. Khấu hao trong năm,100.177.547.854,214.325.495.032,7.589.694.585,2.985.272.533,4.273.554.564,329.351.564.568,100177547854.0,214325495032.0,7589694585.0,2985272533.0,4273554564.0,329351564568.0
- Khấu hao trong năm,II. Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,100.177.547.854,189.147.566.609,7.589.694.585,2.985.272.533,4.273.554.564,304.173.636.145,100177547854.0,189147566609.0,7589694585.0,2985272533.0,4273554564.0,304173636145.0
- Mua lại TSCĐ thuê tài chính,II. Giá trị hao mòn lũy kế > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,,25.134.413.590,,,,25.134.413.590,,25134413590.0,,,,25134413590.0
- Tăng khác,II. Giá trị hao mòn lũy kế > - Tăng khác,- Tăng khác,,43.514.833,,,,43.514.833,,43514833.0,,,,43514833.0
3. Giảm trong năm,II. Giá trị hao mòn lũy kế > 3. Giảm trong năm,3. Giảm trong năm,306.643.051,5.749.293.333,645.454.546,,38.561.551,6.739.952.481,306643051.0,5749293333.0,645454546.0,,38561551.0,6739952481.0
"- Thanh lý, nhượng bán","II. Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",301.689.769,596.061.863,645.454.546,,,1.543.206.178,301689769.0,596061863.0,645454546.0,,,1543206178.0
- Giảm khác,II. Giá trị hao mòn lũy kế > - Giảm khác,- Giảm khác,4.953.282,5.153.231.470,,,38.561.551,5.196.746.303,4953282.0,5153231470.0,,,38561551.0,5196746303.0
