row_label_raw,row_label_full,a) Ngắn hạn,2.595.026.008.791,2.227.734.351.392,numeric__2.595.026.008.791,numeric__2.227.734.351.392
Bên khác,Bên khác,Bên khác,2.595.626.008.791,2.227.734.351.392,2595626008791.0,2227734351392.0
+ Công ty Cổ Phần Vistar,+ Công ty Cổ Phần Vistar,+ Công ty Cổ Phần Vistar,74.153.508.915,57.717.750.410,74153508915.0,57717750410.0
+ Ban GPMB KDC Tân Châu,+ Ban GPMB KDC Tân Châu,+ Ban GPMB KDC Tân Châu,275.925.249.700,255.547.112.700,275925249700.0,255547112700.0
+ Ban QLDA GPMB (Bồi hoàn BK4),+ Ban QLDA GPMB (Bồi hoàn BK4),+ Ban QLDA GPMB (Bồi hoàn BK4),149.807.611.000,149.807.611.000,149807611000.0,149807611000.0
+ Ban QLDA GPMB (Dự án Lam Sơn - Sao Vàng - Thọ Xuân),+ Ban QLDA GPMB (Dự án Lam Sơn - Sao Vàng - Thọ Xuân),+ Ban QLDA GPMB (Dự án Lam Sơn - Sao Vàng - Thọ Xuân),22.452.693.000,16.803.682.000,22452693000.0,16803682000.0
"+ Hội đồng BT GPMB huyện Triệu Sơn(KĐT Minh Sơn, Giất)","+ Hội đồng BT GPMB huyện Triệu Sơn(KĐT Minh Sơn, Giất)","+ Hội đồng BT GPMB huyện Triệu Sơn(KĐT Minh Sơn, Giất)",11.444.933.968,4.106.650.968,11444933968.0,4106650968.0
+ Công ty CP xuất khẩu Thủy Hải Sản Sạch,+ Công ty CP xuất khẩu Thủy Hải Sản Sạch,+ Công ty CP xuất khẩu Thủy Hải Sản Sạch,70.493.885.724,91.386.814.165,70493885724.0,91386814165.0
+ Công ty CP Đầu Cá Châu Á,+ Công ty CP Đầu Cá Châu Á,+ Công ty CP Đầu Cá Châu Á,15.041.810.050,15.041.810.050,15041810050.0,15041810050.0
+ Công ty TNHH MTV Kiểm định & Đầu tư toàn cầu,+ Công ty TNHH MTV Kiểm định & Đầu tư toàn cầu,+ Công ty TNHH MTV Kiểm định & Đầu tư toàn cầu,99.105.667.005,,99105667005.0,
+ Lê Đình Mạnh,+ Lê Đình Mạnh,+ Lê Đình Mạnh,24.671.156.908,21.642.315.077,24671156908.0,21642315077.0
+ Lê Văn Thương,+ Lê Văn Thương,+ Lê Văn Thương,87.082.815.560,87.082.815.560,87082815560.0,87082815560.0
+ Trần Huy,+ Trần Huy,+ Trần Huy,61.000.000.000,61.000.000.000,61000000000.0,61000000000.0
+ Đối tượng khác,+ Đối tượng khác,+ Đối tượng khác,1.704.446.676.961,1.467.597.789.462,1704446676961.0,1467597789462.0
Bên liên quan,Bên liên quan,Bên liên quan,,,,
b) Dài hạn,Bên liên quan > b) Dài hạn,b) Dài hạn,14.500.000,,14500000.0,
+ Đối tượng khác,Bên liên quan > + Đối tượng khác,+ Đối tượng khác,14.500.000,,14500000.0,
Cộng,Bên liên quan > Cộng,Cộng,2.595.640.508.791,2.227.734.351.392,2595640508791.0,2227734351392.0
