row_label_raw,row_label_full,col_0,Ending Balance,Beginning Balance,numeric__Ending Balance,numeric__Beginning Balance
a) Short-term other payables,a) Short-term other payables,a) Short-term other payables,"83,772,214,762","111,956,483,241",,
Surplus of assets awaiting resolution,Surplus of assets awaiting resolution,Surplus of assets awaiting resolution,,"3,369,787,227",,
Trade union fund,Trade union fund,Trade union fund,"1,896,380,920","2,391,522,530",,
Social insurance,Social insurance,Social insurance,"149,691,151","2,575,500",,
Health insurance,Health insurance,Health insurance,"232,358,491","209,097,250",,
Unemployment insurance,Health insurance > Unemployment insurance,Unemployment insurance,"17,204,855","250,000",,250.0
Short-term deposits,Short-term deposits,Short-term deposits,"6,167,221,960","6,212,221,960",,
Dividends or profits payables,Dividends or profits payables,Dividends or profits payables,"26,016,877,987","1,100,681,000",,
Others,Others,Others,"49,292,479,398","98,670,347,774",,
+ Vo Duc Thao,+ Vo Duc Thao,+ Vo Duc Thao,"3,022,942,659","3,016,081,994",,
+ Others,+ Others,+ Others,"46,269,536,739","95,654,265,780",,
b) Long-term other payables,b) Long-term other payables,b) Long-term other payables,"3,294,000,000","2,090,000,000",,
Long-term deposits,Long-term deposits,Long-term deposits,"3,294,000,000","2,090,000,000",,
Others,Others,Others,,,,
Total,Total,Total,"87,066,214,762","114,046,483,241",,
