row_label_raw,row_label_full,Lender,Contract/Debt contract,Maturity/Loan (VND),Maturity/Loan (VND)_1,Outstanding balance,Outstanding balance_1,Term (Month),Interest rate (%),Purpose,Form of security,numeric__Contract/Debt contract,numeric__Maturity/Loan (VND),numeric__Maturity/Loan (VND)_1,numeric__Outstanding balance,numeric__Outstanding balance_1,numeric__Term (Month),numeric__Interest rate (%),numeric__Purpose,numeric__Form of security
Lender,Lender,Lender,Contract/Debt contract,USD,VND,USD,VND,Term (Month),Interest rate (%),Purpose,Form of security,,,,,,,,,
Vietnam Prosperity Joint Stock Commercial Bank (VPBank),Vietnam Prosperity Joint Stock Commercial Bank (VPBank),Vietnam Prosperity Joint Stock Commercial Bank (VPBank),No AGG/22006,,"120,000,000,000",,"78,420,000,000",7 years,According to each debt contract,Purchase assets,"Assets attached to land: Land plot No. 33, map sheet No. 12; Land plot number 34, map sheet number 12; Land plot number 79, map sheet number 12; Land plot number 81, map sheet number 12 is located in My Thoi Ward, Long Xuyen City, AG",,,,,,,,,
Others,Vietnam Prosperity Joint Stock Commercial Bank (VPBank) > Others,Others,According to each debt contract,,,,"66,601,000,000",24,According to each debt contract,Serve production and business,Personal loans,,,,,,24.0,,,
