row_label_raw,row_label_full,Mua sắm TSCĐ,33.144.179.058,23.105.097.572,numeric__33.144.179.058,numeric__23.105.097.572
- Kho lạnh 04,- Kho lạnh 04,- Kho lạnh 04,14.321.499.813,14.321.499.813,14321499813.0,14321499813.0
- Khác,- Khác,- Khác,18.822.679.245,8.783.597.759,18822679245.0,8783597759.0
Xây dựng cơ bản,Xây dựng cơ bản,Xây dựng cơ bản,1.340.226.831.175,997.610.546.520,1340226831175.0,997610546520.0
- Đường GTGT Bình khách 3,- Đường GTGT Bình khách 3,- Đường GTGT Bình khách 3,,1.147.923.083,,1147923083.0
- Khu dân cư Hoà Bình,- Khu dân cư Hoà Bình,- Khu dân cư Hoà Bình,,1.653.591.160,,1653591160.0
- Khu văn phòng và nhà ở cao tầng - HCM,- Khu văn phòng và nhà ở cao tầng - HCM,- Khu văn phòng và nhà ở cao tầng - HCM,49.137.782.570,49.137.782.570,49137782570.0,49137782570.0
- Khu Đô Thị Mỹ Tho,- Khu Đô Thị Mỹ Tho,- Khu Đô Thị Mỹ Tho,,882.034.099,,882034099.0
- Kho lạnh 04,- Kho lạnh 04,- Kho lạnh 04,145.580.345.953,142.935.148.514,145580345953.0,142935148514.0
- Dự án năng lượng mặt trời Tại Huyện Ea H'Leo - Đắk Lắk,- Dự án năng lượng mặt trời Tại Huyện Ea H'Leo - Đắk Lắk,- Dự án năng lượng mặt trời Tại Huyện Ea H'Leo - Đắk Lắk,174.000.000,174.000.000,174000000.0,174000000.0
- Nhà máy điện năng lượng mặt trời - Tịnh Biên An Giang,- Nhà máy điện năng lượng mặt trời - Tịnh Biên An Giang,- Nhà máy điện năng lượng mặt trời - Tịnh Biên An Giang,55.992.877.500,55.992.877.500,55992877500.0,55992877500.0
- Chi phí đầu tư xây dựng Khu Du Lịch Trà Sư,- Chi phí đầu tư xây dựng Khu Du Lịch Trà Sư,- Chi phí đầu tư xây dựng Khu Du Lịch Trà Sư,49.959.422.575,45.564.203.575,49959422575.0,45564203575.0
- Khu đô thị Bình Long,- Khu đô thị Bình Long,- Khu đô thị Bình Long,401.317.925.000,401.317.925.000,401317925000.0,401317925000.0
