row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,Số cuối năm,Số đầu năm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng,numeric__Số cuối năm,numeric__Số đầu năm
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.070.302.439.363,,1.365.023.440.747,,2.070.302.439.363,1.365.023.440.747,2070302439363.0,,1365023440747.0,,2070302439363.0,1365023440747.0
Phải thu khách hàng,Tài sản tài chính > Phải thu khách hàng,Phải thu khách hàng,2.183.060.421.709,(67.373.932.408),1.663.264.889.610,(67.702.333.658),2.115.686.489.301,1.595.562.555.952,2183060421709.0,-67373932408.0,1663264889610.0,-67702333658.0,2115686489301.0,1595562555952.0
Trả trước cho người bán,Tài sản tài chính > Trả trước cho người bán,Trả trước cho người bán,2.595.640.508.791,,2.227.734.351.392,,2.595.640.508.791,2.227.734.351.392,2595640508791.0,,2227734351392.0,,2595640508791.0,2227734351392.0
Các khoản phải thu khác,Tài sản tài chính > Các khoản phải thu khác,Các khoản phải thu khác,353.809.245.847,(528.000.000),344.840.704.781,(528.000.000),353.281.245.847,344.312.704.781,353809245847.0,-528000000.0,344840704781.0,-528000000.0,353281245847.0,344312704781.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,2.065.635.059.009,(754.621.703),983.273.078.980,(1.316.610.153),2.064.880.437.306,981.956.468.827,2065635059009.0,-754621703.0,983273078980.0,-1316610153.0,2064880437306.0,981956468827.0
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,35.310.000.000,(2.000.000.000),35.310.000.000,(2.000.000.000),33.310.000.000,33.310.000.000,35310000000.0,-2000000000.0,35310000000.0,-2000000000.0,33310000000.0,33310000000.0
Cộng,Tài sản tài chính > Cộng,Cộng,9.303.757.674.719,(70.656.554.111),6.619.446.465.510,(71.546.943.811),9.233.101.120.608,6.547.899.521.699,9303757674719.0,-70656554111.0,6619446465510.0,-71546943811.0,9233101120608.0,6547899521699.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,
Phải trả cho người bán,Nợ phải trả tài chính > Phải trả cho người bán,Phải trả cho người bán,464.666.728.448,,520.907.086.114,,464.666.728.448,520.907.086.114,464666728448.0,,520907086114.0,,464666728448.0,520907086114.0
Người mua trả tiền trước,Nợ phải trả tài chính > Người mua trả tiền trước,Người mua trả tiền trước,229.941.996.542,,382.741.437.860,,229.941.996.542,382.741.437.860,229941996542.0,,382741437860.0,,229941996542.0,382741437860.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,13.675.896.526.191,,10.781.758.702.353,,13.675.896.526.191,10.781.758.702.353,13675896526191.0,,10781758702353.0,,13675896526191.0,10781758702353.0
Phải trả người lao động,Nợ phải trả tài chính > Phải trả người lao động,Phải trả người lao động,31.078.402.784,,35.149.434.608,,31.078.402.784,35.149.434.608,31078402784.0,,35149434608.0,,31078402784.0,35149434608.0
Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,,,,,,,,,,,,
Các khoản phải trả khác,Trái phiếu chuyển đổi > Các khoản phải trả khác,Các khoản phải trả khác,87.066.214.762,,114.046.483.241,,87.066.214.762,114.046.483.241,87066214762.0,,114046483241.0,,87066214762.0,114046483241.0
Cộng,Trái phiếu chuyển đổi > Cộng,Cộng,14.488.649.868.727,,11.834.603.144.176,,14.488.649.868.727,11.834.603.144.176,14488649868727.0,,11834603144176.0,,14488649868727.0,11834603144176.0
