row_label_raw,row_label_full,Item,Ending Balance,Ending Balance_1,Ending Balance_2,Beginning Balance,Beginning Balance_1,Beginning Balance_2,Beginning Balance_3,Beginning Balance_4,numeric__Ending Balance,numeric__Ending Balance_1,numeric__Ending Balance_2,numeric__Beginning Balance,numeric__Beginning Balance_1,numeric__Beginning Balance_2,numeric__Beginning Balance_3,numeric__Beginning Balance_4
Item,Item,Item,An Giang,Dong Thap,Others,Total,An Giang,Dong Thap,Others,Total,,,,,,,,
Segment assets,Segment assets,Segment assets,"10,460,377,406,172","10,978,674,417,429","474,567,748,294","21,913,619,571,895","8,891,097,472,036","10,055,794,192,114","448,151,850,699","19,395,043,514,849",,,,,,,,
Assets not attributable to segments,Assets not attributable to segments,Assets not attributable to segments,,,,"942,436,057,272",,,,"912,409,643,730",,,,,,,,
Total,Total,Total,"10,460,377,406,172","10,978,674,417,429","474,567,748,294","22,856,055,629,167","8,891,097,472,036","10,055,794,192,114","448,151,850,699","20,307,453,158,579",,,,,,,,
Segment liabilities,Segment liabilities,Segment liabilities,"7,612,214,328,318","6,574,809,474,546","404,999,524,743","14,592,023,327,607","6,724,884,772,872","5,153,362,964,708","432,760,158,027","12,311,007,895,607",,,,,,,,
Liabilities not attributable to segments,Liabilities not attributable to segments,Liabilities not attributable to segments,,,,"7,114,090,503,721",,,,"4,447,361,535,090",,,,,,,,
Total,Total,Total,"7,612,214,328,318","6,574,809,474,546","404,999,524,743","21,706,113,831,328","6,724,884,772,872","5,153,362,964,708","432,760,158,027","16,758,369,430,697",,,,,,,,
b. The business field segment,b. The business field segment,b. The business field segment,b. The business field segment,b. The business field segment,b. The business field segment,b. The business field segment,b. The business field segment,b. The business field segment,b. The business field segment,b. The business field segment,,,,,,,,
Current year,Current year,Current year,Current year,Current year,Current year,Current year,Current year,Current year,Current year,Current year,,,,,,,,
Item,Item,Item,Solar power,Solar power,Real Estate,Construction,Trading,Others,Total,Total,,,,,,,,
Net external sales,Net external sales,Net external sales,"786,031,125,551","786,031,125,551","63,497,680,658",,"4,124,012,295,744","7,039,576,788,047","12,013,117,890,000","12,013,117,890,000",,,,,,,,
Segment assets,Segment assets,Segment assets,"5,078,198,236,424","5,078,198,236,424","4,058,012,224,628","166,193,062,958","1,099,796,481,999","12,453,855,623,158","22,856,055,629,167","22,856,055,629,167",,,,,,,,
Total expenses on acquisition of fixed assets and other non-current assets.,Total expenses on acquisition of fixed assets and other non-current assets.,Total expenses on acquisition of fixed assets and other non-current assets.,Total expenses on acquisition of fixed assets and other non-current assets.,Total expenses on acquisition of fixed assets and other non-current assets.,Total expenses on acquisition of fixed assets and other non-current assets.,Total expenses on acquisition of fixed assets and other non-current assets.,Total expenses on acquisition of fixed assets and other non-current assets.,Total expenses on acquisition of fixed assets and other non-current assets.,"(254,360,620,505)","(254,360,620,505)",,,,,,,,
Previous year,Previous year,Previous year,Previous year,Previous year,Previous year,Previous year,Previous year,Previous year,Previous year,Previous year,,,,,,,,
Item,Item,Item,Solar power,Solar power,Real Estate,Construction,Trading,Others,Total,Total,,,,,,,,
Net external sales,Net external sales,Net external sales,"751,174,089,304","751,174,089,304","75,072,911,194",,"2,980,204,399,913","8,166,702,351,696","11,973,153,752,107","11,973,153,752,107",,,,,,,,
Segment assets,Segment assets,Segment assets,"5,048,171,822,882","5,048,171,822,882","4,031,637,528,810","166,151,861,181","1,097,528,463,539","9,963,963,482,167","20,307,453,158,579","20,307,453,158,579",,,,,,,,
Total expenses on acquisition of fixed assets and other non-current assets.,Total expenses on acquisition of fixed assets and other non-current assets.,Total expenses on acquisition of fixed assets and other non-current assets.,Total expenses on acquisition of fixed assets and other non-current assets.,Total expenses on acquisition of fixed assets and other non-current assets.,Total expenses on acquisition of fixed assets and other non-current assets.,Total expenses on acquisition of fixed assets and other non-current assets.,Total expenses on acquisition of fixed assets and other non-current assets.,Total expenses on acquisition of fixed assets and other non-current assets.,"(239,077,925,477)","(239,077,925,477)",,,,,,,,
