row_label_raw,row_label_full,Items,"Buildings, structures","Machinery, equipment",Transportation equipment,Office equipment,Others,Total,"numeric__Buildings, structures","numeric__Machinery, equipment",numeric__Transportation equipment,numeric__Office equipment,numeric__Others,numeric__Total
I. Historical cost,I. Historical cost,I. Historical cost,I. Historical cost,I. Historical cost,I. Historical cost,I. Historical cost,I. Historical cost,I. Historical cost,,,,,,
1. Opening balance,1. Opening balance,1. Opening balance,"1,935,285,048,335","4,191,611,158,617","120,592,442,901","37,908,705,751","108,937,557,447","6,394,334,913,051",,,,,,
2. Increase,2. Increase,2. Increase,"177,135,312,041","57,576,135,371","1,091,388,262","1,830,000,879","116,293,182","237,749,129,735",,,,,,
- Purchase in this period,- Purchase in this period,- Purchase in this period,"1,141,470,370","25,384,940,219","470,000,000","945,327,731","116,293,182","28,058,031,502",,,,,,
- Finished construction investment,- Finished construction investment,- Finished construction investment,"175,993,841,671",,"621,388,262","884,673,148",,"177,499,903,081",,,,,,
- Purchase of financial lease fixed assets,- Purchase of financial lease fixed assets,- Purchase of financial lease fixed assets,,"32,191,195,152",,,,"32,191,195,152",,,,,,
3. Decrease,3. Decrease,3. Decrease,"444,513,460","43,410,933,785","645,454,546",,,"44,500,901,791",,,,,,
"- Liquidating, disposing","- Liquidating, disposing","- Liquidating, disposing","444,513,460","1,111,222,750","645,454,546",,,"2,201,190,756",,,,,,
- Other decreases,- Other decreases,- Other decreases,,"42,299,711,035",,,,"42,299,711,035",,,,,,
4. Closing balance,4. Closing balance,4. Closing balance,"2,111,975,846,916","4,205,776,360,203","121,038,376,617","39,738,706,630","109,053,850,629","6,587,583,140,995",,,,,,
II. Accumulated depreciation,II. Accumulated depreciation,II. Accumulated depreciation,II. Accumulated depreciation,II. Accumulated depreciation,II. Accumulated depreciation,II. Accumulated depreciation,II. Accumulated depreciation,II. Accumulated depreciation,,,,,,
1. Opening balance,1. Opening balance,1. Opening balance,"419,140,557,637","1,079,803,321,761","71,397,639,681","18,188,798,097","26,019,186,393","1,614,549,503,569",,,,,,
2. Increase,2. Increase,2. Increase,"100,177,547,854","214,325,495,032","7,589,694,585","2,985,272,533","4,273,554,564","329,351,564,568",,,,,,
- Depreciation for this period,- Depreciation for this period,- Depreciation for this period,"100,177,547,854","189,147,566,609","7,589,694,585","2,985,272,533","4,273,554,564","304,173,636,145",,,,,,
- Purchase of financial lease fixed assets,- Purchase of financial lease fixed assets,- Purchase of financial lease fixed assets,,"25,134,413,590",,,,"25,134,413,590",,,,,,
- Other increases,- Other increases,- Other increases,,"43,514,833",,,,"43,514,833",,,,,,
3. Decrease,3. Decrease,3. Decrease,"306,643,051","5,749,293,333","645,454,546",,"38,561,551","6,739,952,481",,,,,,
"- Liquidating, disposing","- Liquidating, disposing","- Liquidating, disposing","301,689,769","596,061,863","645,454,546",,,"1,543,206,178",,,,,,
- Other decreases,- Other decreases,- Other decreases,"4,953,282","5,153,231,470",,,"38,561,551","5,196,746,303",,,,,,
4. Closing balance,4. Closing balance,4. Closing balance,"519,011,462,440","1,288,379,523,460","78,341,879,720","21,174,070,630","30,254,179,406","1,937,161,115,656",,,,,,
III. Net book value,III. Net book value,III. Net book value,III. Net book value,III. Net book value,III. Net book value,III. Net book value,III. Net book value,III. Net book value,,,,,,
1. Opening balance,1. Opening balance,1. Opening balance,"1,516,144,490,698","3,111,807,836,856","49,194,803,220","19,719,907,654","82,918,371,054","4,779,785,409,482",,,,,,
2. Closing balance,2. Closing balance,2. Closing balance,"1,592,964,384,476","2,917,396,836,743","42,696,496,897","18,564,636,000","78,799,671,223","4,650,422,025,339",,,,,,
