row_label_raw,row_label_full,Bên cho vay > Ngân hàng BPCE IOM > First Comercial Bank - CN HCM,Hợp đồng/Khé ước > FCA000601-2024 > MLBTDS-H10230079 ngày 06/10/2023,Hạn mức/Số tiền vay (VND) > USD > 3.000.000,Hạn mức/Số tiền vay (VND) > VND > 200.000.000.000,Dư nợ vay > USD,Dư nợ vay > VND > 69.152.983.426 > 120.000.000.000,Thời hạn vay (Tháng) > 5 > 60,Lãi suất(%) > Theo từng khế ước nhận nợ,Mục đích vay > Bổ sung vốn phục vụ hoạt động kinh doanh > Phục vụ sản xuất kinh doanh,Hình thức đảm bảo > Ký quỹ tiền > Tải Sản khác,numeric__Hợp đồng/Khé ước > FCA000601-2024 > MLBTDS-H10230079 ngày 06/10/2023,numeric__Hạn mức/Số tiền vay (VND) > USD > 3.000.000,numeric__Hạn mức/Số tiền vay (VND) > VND > 200.000.000.000,numeric__Dư nợ vay > USD,numeric__Dư nợ vay > VND > 69.152.983.426 > 120.000.000.000,numeric__Thời hạn vay (Tháng) > 5 > 60,numeric__Lãi suất(%) > Theo từng khế ước nhận nợ,numeric__Mục đích vay > Bổ sung vốn phục vụ hoạt động kinh doanh > Phục vụ sản xuất kinh doanh,numeric__Hình thức đảm bảo > Ký quỹ tiền > Tải Sản khác
Đối tượng khác,Đối tượng khác,Đối tượng khác,Tùng hợp đồng cụ thể,,,,60.450.000.000,24,Theo từng hợp đồng cụ thể,Phục vụ sản xuất kinh doanh,Vay của cá nhân,,,,,60450000000.0,24.0,,,
- Ngân hàng TMCP Á Châu,- Ngân hàng TMCP Á Châu,- Ngân hàng TMCP Á Châu,Số ANG.DN.252.270220,,10.000.000.000,,10.000.000.000,1 năm,Theo từng lần nhận nợ,Bổ sung vốn phục vụ hoạt động sản xuất kinh doanh,"Tải sản gắn liền với đất tọa lạc tại thừa đất số 25, tờ bán đồ số 12 & thừa đất số 20. Địa chỉ: P. Mỹ Long, Tp Long Xuyên, An Giang",,,10000000000.0,,10000000000.0,,,,
- Ngân hàng Xăng Dầu Petrolimex,- Ngân hàng Xăng Dầu Petrolimex,- Ngân hàng Xăng Dầu Petrolimex,Số 540.0285/2019/HĐTD-PN/PG BankAG,,7.500.000.000,,4.750.000.000,5 năm,Theo từng lần nhận nợ,Đầu tư mở rộng KDL Tức Đụp,"Giấy CN QSDĐ quyền sở hữu nhà ở và tài sản khác gắn liền với đất số phát hành: BK 065344, số vào số cấp giấy chứng nhận:CT05826 do Sở Tài Nguyên Và Môi Trường An Giang cấp ngày 21/01/2013.",,,7500000000.0,,4750000000.0,,,,
