row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
18 . NGƯỜI MUA TRẢ TIỀN TRƯỚC,18 . NGƯỜI MUA TRẢ TIỀN TRƯỚC,18 . NGƯỜI MUA TRẢ TIỀN TRƯỚC,18 . NGƯỜI MUA TRẢ TIỀN TRƯỚC,18 . NGƯỜI MUA TRẢ TIỀN TRƯỚC,,
a) Ngắn hạn,18 . NGƯỜI MUA TRẢ TIỀN TRƯỚC > a) Ngắn hạn,a) Ngắn hạn,229.941.996.542,382.741.437.860,229941996542.0,382741437860.0
Bên khác,18 . NGƯỜI MUA TRẢ TIỀN TRƯỚC > Bên khác,Bên khác,229.941.996.542,382.741.437.860,229941996542.0,382741437860.0
+ Công ty Cổ phần Đầu Tư Xây dựng Sao Mai Bến Tre,18 . NGƯỜI MUA TRẢ TIỀN TRƯỚC > + Công ty Cổ phần Đầu Tư Xây dựng Sao Mai Bến Tre,+ Công ty Cổ phần Đầu Tư Xây dựng Sao Mai Bến Tre,5.900.000.000,,5900000000.0,
+ Công ty Cổ phần Net Zero Carbon,18 . NGƯỜI MUA TRẢ TIỀN TRƯỚC > + Công ty Cổ phần Net Zero Carbon,+ Công ty Cổ phần Net Zero Carbon,2.187.770.906,1.767.204.483,2187770906.0,1767204483.0
+ Công ty Cổ phần Xuất Khẩu Thủy Hải Sản Sạch,18 . NGƯỜI MUA TRẢ TIỀN TRƯỚC > + Công ty Cổ phần Xuất Khẩu Thủy Hải Sản Sạch,+ Công ty Cổ phần Xuất Khẩu Thủy Hải Sản Sạch,14.110.929.380,,14110929380.0,
+ Công ty TNHH CNSL INDUSTRIAL,18 . NGƯỜI MUA TRẢ TIỀN TRƯỚC > + Công ty TNHH CNSL INDUSTRIAL,+ Công ty TNHH CNSL INDUSTRIAL,19.500.000.000,,19500000000.0,
+ Lê Văn Linh,18 . NGƯỜI MUA TRẢ TIỀN TRƯỚC > + Lê Văn Linh,+ Lê Văn Linh,449.212.000,14.509.000.000,449212000.0,14509000000.0
+ Lê Như Thành,18 . NGƯỜI MUA TRẢ TIỀN TRƯỚC > + Lê Như Thành,+ Lê Như Thành,20.000.000.000,,20000000000.0,
+ Lê Đức Tùng,18 . NGƯỜI MUA TRẢ TIỀN TRƯỚC > + Lê Đức Tùng,+ Lê Đức Tùng,20.000.000.000,,20000000000.0,
+ Công ty TNHH MTV Kiểm định và Đầu tư Toàn Cầu,18 . NGƯỜI MUA TRẢ TIỀN TRƯỚC > + Công ty TNHH MTV Kiểm định và Đầu tư Toàn Cầu,+ Công ty TNHH MTV Kiểm định và Đầu tư Toàn Cầu,26.226.961.132,,26226961132.0,
+ Khách hàng khác,18 . NGƯỜI MUA TRẢ TIỀN TRƯỚC > + Khách hàng khác,+ Khách hàng khác,121.567.123.124,366.465.233.377,121567123124.0,366465233377.0
Bên liên quan,Bên liên quan,Bên liên quan,,,,
b) Dài hạn,Bên liên quan > b) Dài hạn,b) Dài hạn,229.941.996.542,382.741.437.860,229941996542.0,382741437860.0
