row_label_raw,row_label_full,Lender,Contract/Debt contract,Maturity/Loan (VND),Maturity/Loan (VND)_1,Outstanding balance,Outstanding balance_1,Term (Month),Interest rate (%),Purpose,Form of security,numeric__Contract/Debt contract,numeric__Maturity/Loan (VND),numeric__Maturity/Loan (VND)_1,numeric__Outstanding balance,numeric__Outstanding balance_1,numeric__Term (Month),numeric__Interest rate (%),numeric__Purpose,numeric__Form of security
Lender,Lender,Lender,Contract/Debt contract,USD,VND,USD,VND,Term (Month),Interest rate (%),Purpose,Form of security,,,,,,,,,
VIETINBANKLEASING TP Branch,Lender > VIETINBANKLEASING TP Branch,VIETINBANKLEASING TP Branch,95/2020/CN.MN-CTTC dated 27/11/2020,,"24,943,333,320",,"4,962,883,188",60,According to each debt contract,Serve production and business,Deposits,,,,,,60.0,,,
VIETINBANKLEASING TP Branch,Lender > VIETINBANKLEASING TP Branch,VIETINBANKLEASING TP Branch,91/2021/CN.Mn-CTTC dated 27/12/2021,,"31,051,892,611",,"10,373,499,970",60,According to each debt contract,Serve production and business,Deposits,,,,,,60.0,,,
VIETINBANKLEASING TP Branch,Lender > VIETINBANKLEASING TP Branch,VIETINBANKLEASING TP Branch,72/2019/CN.MN-CTTC,,"49,262,765,960",,"2,995,905,000",63,9.50%,Serve production and business,Deposits,,,,,,63.0,9.5,,
VIETINBANKLEASING TP Branch,Lender > VIETINBANKLEASING TP Branch,VIETINBANKLEASING TP Branch,C2201170C2,,"8,634,655,933",,"2,417,703,649",50,7.48%,Serve production and business,Deposits,,,,,,50.0,7.48,,
VIETINBANKLEASING TP Branch,Lender > VIETINBANKLEASING TP Branch,VIETINBANKLEASING TP Branch,C2211008C2,,"4,915,319,000",,"921,622,306",32,7.96%,Serve production and business,Deposits,,,,,,32.0,7.96,,
VIETINBANKLEASING,Lender > VIETINBANKLEASING,VIETINBANKLEASING,02/2022/CN.MN-CTTC,,"123,320,096,000",,"38,537,500,000",60,According to each debt contract,Serve production and business,"Machinery, equipment",,,,,,60.0,,,
VIETINBANKLEASING,Lender > VIETINBANKLEASING,VIETINBANKLEASING,153/2022/CN.MN-CTTC,,"58,333,460,000",,"26,249,999,992",60,According to each debt contract,Serve production and business,"Machinery, equipment",,,,,,60.0,,,
VILC,Lender > VILC,VILC,2022-00003-000,,"58,800,000,012",,"11,943,716,117",48,According to each debt contract,Serve production and business,"Machinery, equipment",,,,,,48.0,,,
VILC,Lender > VILC,VILC,2022-00004-000,,"36,239,999,988",,"7,361,215,863",48,According to each debt contract,Serve production and business,"Machinery, equipment",,,,,,48.0,,,
