row_label_raw,row_label_full,(*) Details of short term borrowings:,(*) Details of short term borrowings:_1,(*) Details of short term borrowings:_2,numeric__(*) Details of short term borrowings:_1,numeric__(*) Details of short term borrowings:_2
,,,Ending Balance,Beginning Balance,,
- Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Cuu Long Delta Branch,- Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Cuu Long Delta Branch,- Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Cuu Long Delta Branch,"73,015,555,000","481,248,609,410",,
- Tien Phong Commercial Joint Stock Bank (TPBank),- Tien Phong Commercial Joint Stock Bank (TPBank),- Tien Phong Commercial Joint Stock Bank (TPBank),"243,002,675,269","295,742,033,506",,
- Vietnam Prosperity Joint Stock Commercial Bank (VPBank) - Ho Chi Minh Branch,- Vietnam Prosperity Joint Stock Commercial Bank (VPBank) - Ho Chi Minh Branch,- Vietnam Prosperity Joint Stock Commercial Bank (VPBank) - Ho Chi Minh Branch,"19,840,495,000","124,998,474,677",,
- Asia Commercial Joint Stock Bank (ACB) - An Giang Branch,- Asia Commercial Joint Stock Bank (ACB) - An Giang Branch,- Asia Commercial Joint Stock Bank (ACB) - An Giang Branch,"38,412,938,574","58,581,069,837",,
- Joint Stock Commercial Bank For Foreign Trade Of Vietnam (VietcomBank) - Kien Giang,- Joint Stock Commercial Bank For Foreign Trade Of Vietnam (VietcomBank) - Kien Giang,- Joint Stock Commercial Bank For Foreign Trade Of Vietnam (VietcomBank) - Kien Giang,,"13,907,404,202",,
- Prosperity and Growth Commercial Joint Stock Bank (PGBank) - An Giang,- Prosperity and Growth Commercial Joint Stock Bank (PGBank) - An Giang,- Prosperity and Growth Commercial Joint Stock Bank (PGBank) - An Giang,,"149,942,243,860",,
- Ho Chi Minh City Development Joint Stock Commercial Bank - Rach Dua transaction office,- Ho Chi Minh City Development Joint Stock Commercial Bank - Rach Dua transaction office,- Ho Chi Minh City Development Joint Stock Commercial Bank - Rach Dua transaction office,"98,856,950",,,
- Asia Commercial Joint Stock Bank (ACB) - Ong Ich Khiem Branch,- Asia Commercial Joint Stock Bank (ACB) - Ong Ich Khiem Branch,- Asia Commercial Joint Stock Bank (ACB) - Ong Ich Khiem Branch,"86,822,298,000","128,069,787,500",,
- Asia Commercial Joint Stock Bank (ACB) - Sa Dec Branch,- Asia Commercial Joint Stock Bank (ACB) - Sa Dec Branch,- Asia Commercial Joint Stock Bank (ACB) - Sa Dec Branch,"46,665,290,200","59,299,600,000",,
- Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Kien Giang Bracnh,- Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Kien Giang Bracnh,- Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Kien Giang Bracnh,"1,754,219,197,731","1,590,048,375,622",,
- Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Phu Quoc Branch,- Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Phu Quoc Branch,- Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Phu Quoc Branch,"251,094,624,300","200,769,151,500",,
- Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Ben Nghe Branch,- Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Ben Nghe Branch,- Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Ben Nghe Branch,"259,961,031,381","380,020,044,900",,
- BPCE IOM bank - Ho Chi Minh Branch,- BPCE IOM bank - Ho Chi Minh Branch,- BPCE IOM bank - Ho Chi Minh Branch,"151,645,206,549","128,079,759,367",,
- China Construction Corporation - HCM City Branch,- China Construction Corporation - HCM City Branch,- China Construction Corporation - HCM City Branch,"153,874,160,400","167,641,275,800",,
"- CTBC Bank Co., Ltd, Ho Chi Minh City Branch","- CTBC Bank Co., Ltd, Ho Chi Minh City Branch","- CTBC Bank Co., Ltd, Ho Chi Minh City Branch",,"58,354,993,943",,
- Vietnam Joint Stock Commercial Bank for Industry and Trade (VietinBank) - Dong Thap Branch,- Vietnam Joint Stock Commercial Bank for Industry and Trade (VietinBank) - Dong Thap Branch,- Vietnam Joint Stock Commercial Bank for Industry and Trade (VietinBank) - Dong Thap Branch,"415,311,657,513","350,090,076,629",,
- Ho Chi Minh City Development Joint Stock Commercial Bank (HDBank) - Vung Tau Branch,- Ho Chi Minh City Development Joint Stock Commercial Bank (HDBank) - Vung Tau Branch,- Ho Chi Minh City Development Joint Stock Commercial Bank (HDBank) - Vung Tau Branch,"88,384,960,542","179,055,186,540",,
- Indovina Bank Limited- Dong Nai Branch,- Indovina Bank Limited- Dong Nai Branch,- Indovina Bank Limited- Dong Nai Branch,"23,000,000,000","21,000,000,000",,
- Prosperity and Growth Commercial Joint Stock Bank (PGBank) - An Giang,- Prosperity and Growth Commercial Joint Stock Bank (PGBank) - An Giang,- Prosperity and Growth Commercial Joint Stock Bank (PGBank) - An Giang,"76,320,500,000","48,000,000,000",,
- Tien Phong Commercial Joint Stock Bank (TPBank) - An Giang Branch,- Tien Phong Commercial Joint Stock Bank (TPBank) - An Giang Branch,- Tien Phong Commercial Joint Stock Bank (TPBank) - An Giang Branch,"205,645,659,579","164,436,698,574",,
- Vietnam Prosperity Joint Stock Commercial Bank (VPBank) An Giang.,- Vietnam Prosperity Joint Stock Commercial Bank (VPBank) An Giang.,- Vietnam Prosperity Joint Stock Commercial Bank (VPBank) An Giang.,"160,706,748,200","181,724,435,000",,
- United Overseas Bank,- United Overseas Bank,- United Overseas Bank,"49,303,324,400","48,108,913,600",,
- Bank Sinopac Ho Chi Minh City Branch,- Bank Sinopac Ho Chi Minh City Branch,- Bank Sinopac Ho Chi Minh City Branch,"47,645,600,000","48,013,000,000",,
- FIRST COMMERCIAL BANK - HO CHI MINH CITY BRANCH,- FIRST COMMERCIAL BANK - HO CHI MINH CITY BRANCH,- FIRST COMMERCIAL BANK - HO CHI MINH CITY BRANCH,"135,546,983,300","90,776,990,000",,
- Woori Bank Viet Nam,- Woori Bank Viet Nam,- Woori Bank Viet Nam,"199,366,048,600","164,997,998,800",,
- Vietnam Maritime Commercial Joint Stock Bank (MSB) - Can Tho Branch,- Vietnam Maritime Commercial Joint Stock Bank (MSB) - Can Tho Branch,- Vietnam Maritime Commercial Joint Stock Bank (MSB) - Can Tho Branch,"43,600,009,596","4,937,000,000",,
