row_label_raw,row_label_full,Item,Land use rights,Computer software,Other assets,Total,numeric__Land use rights,numeric__Computer software,numeric__Other assets,numeric__Total
I. Historical cost,I. Historical cost,I. Historical cost,I. Historical cost,I. Historical cost,I. Historical cost,I. Historical cost,,,,
1. Opening balance,1. Opening balance,1. Opening balance,"1,537,705,999,258","1,277,515,000","61,240,000","1,539,044,754,258",,,,
2. Increase,2. Increase,2. Increase,,"3,809,570,835",,"3,809,570,835",,,,
- Purchase in this year,- Purchase in this year,- Purchase in this year,,"3,631,490,715",,"3,631,490,715",,,,
- Finished construction investment,- Finished construction investment,- Finished construction investment,,"178,080,120",,"178,080,120",,,,
- Other increases,- Other increases,- Other increases,,,,,,,,
3. Decrease,3. Decrease,3. Decrease,,,,,,,,
- Disposals,- Disposals,- Disposals,,,,,,,,
- Other decreases,- Other decreases,- Other decreases,,,,,,,,
4. Closing balance,4. Closing balance,4. Closing balance,"1,537,705,999,258","5,087,085,835","61,240,000","1,542,854,325,093",,,,
II. Accumulated depreciation,II. Accumulated depreciation,II. Accumulated depreciation,II. Accumulated depreciation,II. Accumulated depreciation,II. Accumulated depreciation,II. Accumulated depreciation,,,,
1. Opening balance,1. Opening balance,1. Opening balance,"122,787,547,102","1,227,002,788","61,240,000","124,075,789,890",,,,
2. Increase,2. Increase,2. Increase,"21,433,313,400","243,381,430",,"21,676,694,830",,,,
- Depreciation,- Depreciation,- Depreciation,"21,433,313,400","243,381,430",,"21,676,694,830",,,,
- Other increases,- Other increases,- Other increases,,,,,,,,
3. Decrease,3. Decrease,3. Decrease,,,,,,,,
- Disposals,- Disposals,- Disposals,,,,,,,,
4. Closing balance,4. Closing balance,4. Closing balance,"144,220,860,502","1,470,384,218","61,240,000","145,752,484,720",,,,
III. Net book value,III. Net book value,III. Net book value,III. Net book value,III. Net book value,III. Net book value,III. Net book value,,,,
1. Opening balance,1. Opening balance,1. Opening balance,"1,414,918,452,156","50,512,212",,"1,414,968,964,368",,,,
2. Closing balance,2. Closing balance,2. Closing balance,"1,393,485,138,756","3,616,701,617",,"1,397,101,840,373",,,,
