row_label_raw,row_label_full,(*) Thông tin trình bày bổ sung chi tiết các khoản vay ngắn hạn,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Ngân hàng BIDV-CN Đồng Bằng Sông Cửu Long,Ngân hàng BIDV-CN Đồng Bằng Sông Cửu Long,Ngân hàng BIDV-CN Đồng Bằng Sông Cửu Long,73.015.555.000,481.248.609.410,73015555000.0,481248609410.0
Ngân hàng Tiên Phong - CN An Giang,Ngân hàng Tiên Phong - CN An Giang,Ngân hàng Tiên Phong - CN An Giang,243.002.675.269,295.742.033.506,243002675269.0,295742033506.0
Ngân hàng VPBank - CN An Giang,Ngân hàng VPBank - CN An Giang,Ngân hàng VPBank - CN An Giang,19.840.495.000,124.998.474.677,19840495000.0,124998474677.0
Ngân hàng TMCP Á Châu - CN An Giang,Ngân hàng TMCP Á Châu - CN An Giang,Ngân hàng TMCP Á Châu - CN An Giang,38.412.938.574,58.581.069.837,38412938574.0,58581069837.0
Ngân hàng VCB - Kiên Giang,Ngân hàng VCB - Kiên Giang,Ngân hàng VCB - Kiên Giang,,13.907.404.202,,13907404202.0
Ngân hàng Xăng Dầu - An Giang,Ngân hàng Xăng Dầu - An Giang,Ngân hàng Xăng Dầu - An Giang,,149.942.243.860,,149942243860.0
Ngân hàng TMCP Phát triển TP.HCM - PGD Rạch Dừa,Ngân hàng TMCP Phát triển TP.HCM - PGD Rạch Dừa,Ngân hàng TMCP Phát triển TP.HCM - PGD Rạch Dừa,98.856.950,,98856950.0,
Ngân hàng TMCP Á Châu CN Ông Ích Khiêm,Ngân hàng TMCP Á Châu CN Ông Ích Khiêm,Ngân hàng TMCP Á Châu CN Ông Ích Khiêm,86.822.298.000,128.069.787.500,86822298000.0,128069787500.0
Ngân hàng TMCP Á Châu CN Sa Đéc,Ngân hàng TMCP Á Châu CN Sa Đéc,Ngân hàng TMCP Á Châu CN Sa Đéc,46.665.290.200,59.299.600.000,46665290200.0,59299600000.0
Ngân hàng TMCP Đầu Tư Và Phát triển Việt Nam - CN Kiên Giang,Ngân hàng TMCP Đầu Tư Và Phát triển Việt Nam - CN Kiên Giang,Ngân hàng TMCP Đầu Tư Và Phát triển Việt Nam - CN Kiên Giang,1.754.219.197.731,1.590.048.375.622,1754219197731.0,1590048375622.0
Ngân hàng TMCP Đầu tư và phát triển Việt Nam - CN Phú Quốc,Ngân hàng TMCP Đầu tư và phát triển Việt Nam - CN Phú Quốc,Ngân hàng TMCP Đầu tư và phát triển Việt Nam - CN Phú Quốc,251.094.624.300,200.769.151.500,251094624300.0,200769151500.0
Ngân hàng TMCP Đầu tư và phát triển Việt Nam - CN Bến Nghé,Ngân hàng TMCP Đầu tư và phát triển Việt Nam - CN Bến Nghé,Ngân hàng TMCP Đầu tư và phát triển Việt Nam - CN Bến Nghé,259.961.031.381,380.020.044.900,259961031381.0,380020044900.0
Ngân hàng BPCE IOM - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng BPCE IOM - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng BPCE IOM - Chi nhánh Thành phố Hồ Chí Minh,151.645.206.549,128.079.759.367,151645206549.0,128079759367.0
Ngân hàng China Construction Bank Corporation - Chi nhánh TP.HCM,Ngân hàng China Construction Bank Corporation - Chi nhánh TP.HCM,Ngân hàng China Construction Bank Corporation - Chi nhánh TP.HCM,153.874.160.400,167.641.275.800,153874160400.0,167641275800.0
"Ngân hàng CTBC Bank Co., Ltd, CN Hồ Chí Minh","Ngân hàng CTBC Bank Co., Ltd, CN Hồ Chí Minh","Ngân hàng CTBC Bank Co., Ltd, CN Hồ Chí Minh",,58.354.993.943,,58354993943.0
Ngân hàng TMCP Công Thương Việt Nam- CN Đồng Tháp,Ngân hàng TMCP Công Thương Việt Nam- CN Đồng Tháp,Ngân hàng TMCP Công Thương Việt Nam- CN Đồng Tháp,415.311.657.513,350.090.076.629,415311657513.0,350090076629.0
NH TMCP Phát Triển Tp. Hồ Chí Minh - CN Vũng Tàu,NH TMCP Phát Triển Tp. Hồ Chí Minh - CN Vũng Tàu,NH TMCP Phát Triển Tp. Hồ Chí Minh - CN Vũng Tàu,88.384.960.542,179.055.186.540,88384960542.0,179055186540.0
Ngân hàng TNHH INDOVINA- Chi nhánh Đồng Nai,Ngân hàng TNHH INDOVINA- Chi nhánh Đồng Nai,Ngân hàng TNHH INDOVINA- Chi nhánh Đồng Nai,23.000.000.000,21.000.000.000,23000000000.0,21000000000.0
Ngân hàng TMCP Xăng Dầu Petrolimex - CN An Giang.,Ngân hàng TMCP Xăng Dầu Petrolimex - CN An Giang.,Ngân hàng TMCP Xăng Dầu Petrolimex - CN An Giang.,76.320.500.000,48.000.000.000,76320500000.0,48000000000.0
Ngân hàng TMCP Tiên Phong - CN An Giang.,Ngân hàng TMCP Tiên Phong - CN An Giang.,Ngân hàng TMCP Tiên Phong - CN An Giang.,205.645.659.579,164.436.698.574,205645659579.0,164436698574.0
