row_label_raw,row_label_full,No.,(Code) Industry registered for investment and business,numeric__(Code) Industry registered for investment and business
28,28,28,(Code 0322): Inland aquaculture. Details: Aquaculture,
29,29,29,(Code 1020): Processing and preserving aquatic products and aquatic products. Details: Seafood processing,
30,30,30,(Code 4312): Prepare surface. Details: Leveling,
31,31,31,"(Code 0810): Exploitation of stone, sand, gravel and clay. Details: Mining sand and gravel",
32,32,32,(Code 8710): Activities of nursing and nursing facilities. Details: Business in nursing homes,
33,33,33,"(Code 5610): Restaurants and mobile catering services. Details: Food and beverage service business Details: Restaurant - bar services, live music and dance music (not operating at the headquarters)",
34,34,34,"(Code 4329): Installation of other construction systems. Details: Installation of elevators, stairs, automatic conveyor systems; Details: Installation of refrigeration systems, cold storage, central air conditioning; Details: Installation of refrigeration, mechanical and electrical equipment and cold storage of seafood factories.",
35,35,35,"(Code 6810 - Main): Real estate business, land use rights belonging to the owner, user or tenant. Details: Real estate business (except investment in building infrastructure of cemeteries and graveyards to transfer land use rights associated with infrastructure).",
36,36,36,(Code 4633): Wholesale of beverages. Details: Buy and sell spirits of all kinds (must have a license from the Department of Industry and Trade before operating).,
37,37,37,(Code 9329): Other entertainment activities not yet classified. Details: Karaoke room business,
