row_label_raw,row_label_full,Lender,Contract/Debt contract,Maturity/Loan (VND),Maturity/Loan (VND)_1,Outstanding balance,Outstanding balance_1,Term (Month),Interest rate (%),Purpose,Form of security,numeric__Contract/Debt contract,numeric__Maturity/Loan (VND),numeric__Maturity/Loan (VND)_1,numeric__Outstanding balance,numeric__Outstanding balance_1,numeric__Term (Month),numeric__Interest rate (%),numeric__Purpose,numeric__Form of security
Lender,Lender,Lender,Contract/Debt contract,USD,VND,USD,VND,Term (Month),Interest rate (%),Purpose,Form of security,,,,,,,,,
UNITED OVERSEAS BANK (VIETNAM) LIMITED,Lender > UNITED OVERSEAS BANK (VIETNAM) LIMITED,UNITED OVERSEAS BANK (VIETNAM) LIMITED,UOB/HCMC/CMB/2673/003 Date 20/09/2024,"4,000,000",,,"49,303,324,400",6,According to each debt-receiving contract,Supplement working capital for production,Term deposits,,,,,,6.0,,,
Nam A Commercial Joint Stock Bank (NamABank) Can Tho Branch,Lender > Nam A Commercial Joint Stock Bank (NamABank) Can Tho Branch,Nam A Commercial Joint Stock Bank (NamABank) Can Tho Branch,0910/2023/603-CV Date 26/12/2023,,"200,000,000,000","815,300","20,831,730,300",8,According to each debt-receiving contract,Supplement working capital for production,Other assets,,,,815.3,,8.0,,,
Nam A Commercial Joint Stock Bank (NamABank),Lender > Nam A Commercial Joint Stock Bank (NamABank),Nam A Commercial Joint Stock Bank (NamABank),0287/2024/603-CV,,"100,000,000,000","500,000","12,775,500,000",6,According to each debt-receiving contract,Supplement working capital for production,Term deposits + Shares,,,,500.0,,6.0,,,
Vietnam Maritime Commercial Joint Stock Bank (MSB),Lender > Vietnam Maritime Commercial Joint Stock Bank (MSB),Vietnam Maritime Commercial Joint Stock Bank (MSB),112-00023613.14093/2024/HDTD,,"70,000,000,000","373,765","9,550,069,515",3,According to each debt-receiving contract,Supplement working capital for production,Term deposits,,,,373.765,,3.0,,,
Vietnam Maritime Commercial Joint Stock Bank (MSB),Lender > Vietnam Maritime Commercial Joint Stock Bank (MSB),Vietnam Maritime Commercial Joint Stock Bank (MSB),112-00023613.14093/2024/HDTD,,,,"14,937,000,000",12,According to each debt-receiving contract,Supplement working capital for production,Term deposits,,,,,,12.0,,,
Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV),Lender > Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV),Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV),01/2024/4956478/HDTD,,"400,000,000,000","866,345","22,135,975,985",6,According to each debt-receiving contract,Supplement working capital for production,Term deposits + Real estates,,,,866.345,,6.0,,,
Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV),Lender > Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV),Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV),01/2024/4956478/HDTD,,,,"237,825,055,396",6,According to each debt-receiving contract,Supplement working capital for production,Term deposits + Real estates,,,,,,6.0,,,
Asia Commercial Joint Stock Bank (ACB),Lender > Asia Commercial Joint Stock Bank (ACB),Asia Commercial Joint Stock Bank (ACB),SDE.DN.1672.070624,,"73,400,000,000","1,180,200","30,155,290,200",6,According to each debt-receiving contract,Supplement working capital for production,Term deposits + Real estates,,,,,,6.0,,,
Asia Commercial Joint Stock Bank (ACB),Lender > Asia Commercial Joint Stock Bank (ACB),Asia Commercial Joint Stock Bank (ACB),SDE.DN.1672.070624,,,,"16,510,000,000",6,According to each debt-receiving contract,Supplement working capital for production,Term deposits + Real estates,,,,,,6.0,,,
Woori Bank Vietnam Limited,Lender > Woori Bank Vietnam Limited,Woori Bank Vietnam Limited,VN123002861/WBVN303,,"85,000,000,000",,"49,490,620,000",11,According to each debt-receiving contract,Supplement working capital for production,Term deposits + Real estates,,,,,,11.0,,,
Tien Phong Commercial Joint Stock Bank (TPBank),Lender > Tien Phong Commercial Joint Stock Bank (TPBank),Tien Phong Commercial Joint Stock Bank (TPBank),442/2023/HDTD/AGG,,"100,000,000,000",,"22,350,000,000",3,According to each debt-receiving contract,Supplement working capital for production,Real estates,,,,,,3.0,,,
Ho Chi Minh City Development Joint Stock Commercial Bank(HDBank),Lender > Ho Chi Minh City Development Joint Stock Commercial Bank(HDBank),Ho Chi Minh City Development Joint Stock Commercial Bank(HDBank),37243/22MN/HDTD,,"90,000,000,000",,"261,043,500",6,According to each debt-receiving contract,Supplement working capital for production,Term deposits + Real estates,,,,,,6.0,,,
