row_label_raw,row_label_full,03 . TRADE RECEIVABLES,03 . TRADE RECEIVABLES_1,03 . TRADE RECEIVABLES_2,numeric__03 . TRADE RECEIVABLES_1,numeric__03 . TRADE RECEIVABLES_2
,,,Ending Balance,Beginning Balance,,
a) Short-term trade receivables,a) Short-term trade receivables,a) Short-term trade receivables,"2,183,060,421,709","1,663,264,889,610",,
Other parties,Other parties,Other parties,,,,
+ Electricity Power Trading Company,+ Electricity Power Trading Company,+ Electricity Power Trading Company,"72,027,201,569","74,224,785,774",,
+ Export Clean Seafood JSC,+ Export Clean Seafood JSC,+ Export Clean Seafood JSC,"6,543,338,851","101,185,453,660",,
+ SATRA Thai Son JSC,+ SATRA Thai Son JSC,+ SATRA Thai Son JSC,"6,974,620,468","6,974,620,468",,
"+ Global Investment and Verification One member Co.,ltd","+ Global Investment and Verification One member Co.,ltd","+ Global Investment and Verification One member Co.,ltd","72,755,719,817","105,954,719,817",,
+ Asia Fish Oil Corporation,+ Asia Fish Oil Corporation,+ Asia Fish Oil Corporation,"389,580,419,426","241,914,818,941",,
+ Others,+ Others,+ Others,"1,635,179,121,578","1,133,010,490,950",,
Related parties,Related parties,Related parties,,,,
b) Long-term trade receivables,b) Long-term trade receivables,b) Long-term trade receivables,,,,
Total,Total,Total,"2,183,060,421,709","1,663,264,889,610",,
