row_label_raw,row_label_full,(*) Details of short term borrowings: (continued),Ending Balance,Beginning Balance,numeric__Ending Balance,numeric__Beginning Balance
- Nam A Commercial Joint Stock Bank (NamABank) - Can Ino Branch,- Nam A Commercial Joint Stock Bank (NamABank) - Can Ino Branch,- Nam A Commercial Joint Stock Bank (NamABank) - Can Ino Branch,"33,607,230,300","12,210,000,000",,
- Joint Stock Commercial Bank For Foreign Trade Of Vietnam (VCB) - Dong Thap Branch,- Joint Stock Commercial Bank For Foreign Trade Of Vietnam (VCB) - Dong Thap Branch,- Joint Stock Commercial Bank For Foreign Trade Of Vietnam (VCB) - Dong Thap Branch,"30,000,000,000","29,979,512,000",,
- Joint Stock Commercial Bank For Foreign Trade Of Vietnam (VCB),- Joint Stock Commercial Bank For Foreign Trade Of Vietnam (VCB),- Joint Stock Commercial Bank For Foreign Trade Of Vietnam (VCB),"9,993,939,337","9,543,357,730",,
- Asia Commercial Joint Stock Bank (ACB),- Asia Commercial Joint Stock Bank (ACB),- Asia Commercial Joint Stock Bank (ACB),"10,000,000,000","10,000,000,000",,
- BPCE IOM Bank - HCM City Branch,- BPCE IOM Bank - HCM City Branch,- BPCE IOM Bank - HCM City Branch,"46,882,493,584","46,503,369,526",,
- Woori Bank Vietnam Limited - Ha Nam Branch,- Woori Bank Vietnam Limited - Ha Nam Branch,- Woori Bank Vietnam Limited - Ha Nam Branch,"36,560,187,200",,,
- Vietnam Joint Stock Commercial Bank for Industry and Trade (VietinBank) - Dong Thap Branch,- Vietnam Joint Stock Commercial Bank for Industry and Trade (VietinBank) - Dong Thap Branch,- Vietnam Joint Stock Commercial Bank for Industry and Trade (VietinBank) - Dong Thap Branch,"66,687,621,618","64,943,276,833",,
- Vietnam Prosperity Joint Stock Commercial Bank (VPBank) - An Giang Branch,- Vietnam Prosperity Joint Stock Commercial Bank (VPBank) - An Giang Branch,- Vietnam Prosperity Joint Stock Commercial Bank (VPBank) - An Giang Branch,"139,342,718,570","130,841,535,086",,
- Indovina Bank - Dong Nai Branch,- Indovina Bank - Dong Nai Branch,- Indovina Bank - Dong Nai Branch,"72,407,262,991","91,391,146,548",,
- Vietnam Maritime Commercial Joint Stock Bank (MSB) - An Giang Branch,- Vietnam Maritime Commercial Joint Stock Bank (MSB) - An Giang Branch,- Vietnam Maritime Commercial Joint Stock Bank (MSB) - An Giang Branch,"41,858,047,780","99,473,817,794",,
- Tien Phong Commercial Joint Stock Bank (TPBank) - An Giang Branch,- Tien Phong Commercial Joint Stock Bank (TPBank) - An Giang Branch,- Tien Phong Commercial Joint Stock Bank (TPBank) - An Giang Branch,"10,242,734,420","10,000,411,750",,
- United Overseas Bank - Headquarters,- United Overseas Bank - Headquarters,- United Overseas Bank - Headquarters,"20,377,812,240","20,153,234,104",,
- Ho Chi Minh City Development Joint Stock Commercial Bank (HDBank) - Vung Tau Branch - Rach Dua transaction office,- Ho Chi Minh City Development Joint Stock Commercial Bank (HDBank) - Vung Tau Branch - Rach Dua transaction office,- Ho Chi Minh City Development Joint Stock Commercial Bank (HDBank) - Vung Tau Branch - Rach Dua transaction office,"555,094,160",,,
- Prosperity and Growth Commercial Joint Stock Bank (PGBank) - An Giang Branch,- Prosperity and Growth Commercial Joint Stock Bank (PGBank) - An Giang Branch,- Prosperity and Growth Commercial Joint Stock Bank (PGBank) - An Giang Branch,"59,760,458,400",,,
- Prosperity and Growth Commercial Joint Stock Bank (PGBank) - Ha Noi Branch,- Prosperity and Growth Commercial Joint Stock Bank (PGBank) - Ha Noi Branch,- Prosperity and Growth Commercial Joint Stock Bank (PGBank) - Ha Noi Branch,"11,780,000,000",,,
- Ho Chi Minh City Development Joint Stock Commercial Bank (HDBank) - Rach Dua transaction office,- Ho Chi Minh City Development Joint Stock Commercial Bank (HDBank) - Rach Dua transaction office,- Ho Chi Minh City Development Joint Stock Commercial Bank (HDBank) - Rach Dua transaction office,"50,000,000",,,
- Fisrt Commercial Bank - HCM City Branch,- Fisrt Commercial Bank - HCM City Branch,- Fisrt Commercial Bank - HCM City Branch,"398,595,600,000",,,
- Personal Loan,- Personal Loan,- Personal Loan,"708,728,675,677","493,372,212,190",,
(*) Details of Long-term debt due:,(*) Details of Long-term debt due:,(*) Details of Long-term debt due:,,,,
- First Commercial Bank - HCM City branch,- First Commercial Bank - HCM City branch,- First Commercial Bank - HCM City branch,"72,000,000,000",,,
- Vietnam Joint Stock Commercial Bank for Industry and Trade (VietinBank) - Eastern Ha Noi Branch,- Vietnam Joint Stock Commercial Bank for Industry and Trade (VietinBank) - Eastern Ha Noi Branch,- Vietnam Joint Stock Commercial Bank for Industry and Trade (VietinBank) - Eastern Ha Noi Branch,,"25,850,000,000",,
- Vietnam Joint Stock Commercial Bank for Industry and Trade (VietinBank) - Dong Thap,- Vietnam Joint Stock Commercial Bank for Industry and Trade (VietinBank) - Dong Thap,- Vietnam Joint Stock Commercial Bank for Industry and Trade (VietinBank) - Dong Thap,"284,000,000,000","227,000,000,000",,
- Vietnam Prosperity Joint Stock Commercial Bank (VPBank) - An Giang Branch,- Vietnam Prosperity Joint Stock Commercial Bank (VPBank) - An Giang Branch,- Vietnam Prosperity Joint Stock Commercial Bank (VPBank) - An Giang Branch,"11,934,000,000",,,
