row_label_raw,row_label_full,col_0,Ending Balance,Ending Balance_1,Ending Balance_2,Beginning Balance,Beginning Balance_1,Beginning Balance_2,numeric__Ending Balance,numeric__Ending Balance_1,numeric__Ending Balance_2,numeric__Beginning Balance,numeric__Beginning Balance_1,numeric__Beginning Balance_2
,,,Historical cost,Fair value,Provision,Historical cost,Fair value,Provision,,,,,,
a) Trading securities,a) Trading securities,a) Trading securities,"6,230,107,978","6,129,668,300","(754,621,703)","6,509,116,327","5,192,506,174","(1,316,610,153)",,,,,,
Total value of shares,Total value of shares,Total value of shares,"6,230,107,978","6,129,668,300","(754,621,703)","6,509,116,327","5,192,506,174","(1,316,610,153)",,,,,,
Total,Total,Total,"6,230,107,978","6,129,668,300","(754,621,703)","6,509,116,327","5,192,506,174","(1,316,610,153)",,,,,,
b) Held to maturity investments,b) Held to maturity investments,b) Held to maturity investments,Ending Balance,Ending Balance,,Beginning Balance,Beginning Balance,,,,,,,
b) Held to maturity investments,b) Held to maturity investments,b) Held to maturity investments,Historical cost,Book value,,Historical cost,Book value,,,,,,,
b1) Short-term held to maturity investments,b1) Short-term held to maturity investments,b1) Short-term held to maturity investments,"2,059,404,951,031","976,763,962,653",,"976,763,962,653","976,763,962,653",,,,,,,
- Term deposits,- Term deposits,- Term deposits,"2,059,404,951,031","976,763,962,653",,"976,763,962,653","976,763,962,653",,,,,,,
b2) Long-term held to maturity investments,b2) Long-term held to maturity investments,b2) Long-term held to maturity investments,"33,310,000,000","33,310,000,000",,"33,310,000,000","33,310,000,000",,,,,,,
- Bonds (*),- Bonds (*),- Bonds (*),"33,310,000,000","33,310,000,000",,"33,310,000,000","33,310,000,000",,,,,,,
Total,Total,Total,"2,092,714,951,031","1,010,073,962,653",,"1,010,073,962,653","1,010,073,962,653",,,,,,,
Name (*),Name (*),Name (*),Amount,Unit Price,Total,Reference Interested Rate,Issue Date,Expire Date,,,,,,
Vietnam Joint Stock Commercial Bank for Industry and Trade (VietinBank),Name (*) > Vietnam Joint Stock Commercial Bank for Industry and Trade (VietinBank),Vietnam Joint Stock Commercial Bank for Industry and Trade (VietinBank),"300,000","100,000","30,000,000,000",1.3%/year,20/07/2023,20/07/2033,300.0,100.0,,,,
Joint Stock Commercial Bank for Investment and Development of Vietnam (HDBank),Name (*) > Joint Stock Commercial Bank for Investment and Development of Vietnam (HDBank),Joint Stock Commercial Bank for Investment and Development of Vietnam (HDBank),32,"10,000,000","320,000,000",1.3%/year,26/09/2019,26/09/2029,32.0,,,,,
Joint Stock Commercial Bank for Investment and Development of Vietnam (HDBank),Name (*) > Joint Stock Commercial Bank for Investment and Development of Vietnam (HDBank),Joint Stock Commercial Bank for Investment and Development of Vietnam (HDBank),99,"10,000,000","990,000,000",1%/year,19/12/2018,19/12/2028,99.0,,,,,
Joint Stock Commercial Bank for Investment and Development of Vietnam (HDBank),Name (*) > Joint Stock Commercial Bank for Investment and Development of Vietnam (HDBank),Joint Stock Commercial Bank for Investment and Development of Vietnam (HDBank),2,"1,000,000,000","2,000,000,000",0.9%/year,22/06/2022,22/06/2030,2.0,,,,,
