row_label_raw,row_label_full,13 . PREPAID EXPENSES,13 . PREPAID EXPENSES_1,13 . PREPAID EXPENSES_2,numeric__13 . PREPAID EXPENSES_1,numeric__13 . PREPAID EXPENSES_2
,,,Ending Balance,Beginning Balance,,
a) Short-term prepaid expenses,a) Short-term prepaid expenses,a) Short-term prepaid expenses,"11,640,987,304","3,732,450,897",,
Dispatched tools and supplies,Dispatched tools and supplies,Dispatched tools and supplies,"1,885,329,358","1,172,938,331",,
Others,Others,Others,"9,755,657,946","2,559,512,566",,
b) Long-term prepaid expenses,b) Long-term prepaid expenses,b) Long-term prepaid expenses,"643,968,340,031","656,754,934,595",,
Cost of land rent Sa Dec,Cost of land rent Sa Dec,Cost of land rent Sa Dec,"47,049,616,091","48,160,812,674",,
Cost of land rent solar power plant Tinh Bien,Cost of land rent solar power plant Tinh Bien,Cost of land rent solar power plant Tinh Bien,"456,745,764,905","467,378,089,286",,
Land rent for Sao Mai Binh Khanh market 5,Land rent for Sao Mai Binh Khanh market 5,Land rent for Sao Mai Binh Khanh market 5,"3,602,789,236","3,694,263,721",,
Cost of forest land rental,Cost of forest land rental,Cost of forest land rental,"28,338,497,228","29,635,212,860",,
Dispatched tools and supplies,Dispatched tools and supplies,Dispatched tools and supplies,"13,046,307,908","10,117,222,656",,
Others,Others,Others,"95,185,364,663","97,769,333,398",,
Total,Total,Total,"655,609,327,335","660,487,385,492",,
