row_label_raw,row_label_full,Name,Address,Ratio of benefit > Ending Balance,Ratio of benefit > Beginning Balance,Ratio of voting power > Ending Balance,Ratio of voting power > Beginning Balance,numeric__Address,numeric__Ratio of benefit > Ending Balance,numeric__Ratio of benefit > Beginning Balance,numeric__Ratio of voting power > Ending Balance,numeric__Ratio of voting power > Beginning Balance
+ Nhut Hong JSC,+ Nhut Hong JSC,+ Nhut Hong JSC,"No. 29 Tran Hung Dao, My Thoi Ward, Long Xuyen City, An Giang",60.00%,60.00%,60.00%,60.00%,,60.0,60.0,60.0,60.0
+ An Giang Tourimex JSC,+ An Giang Tourimex JSC,+ An Giang Tourimex JSC,"17 Nguyen Van Cung, My Long Ward, Long Xuyen city, An Giang",71.82%,72.71%,71.82%,72.71%,,71.82,72.71,71.82,72.71
"+ Sao Mai Super Feed Co.,Ltd","+ Sao Mai Super Feed Co.,Ltd","+ Sao Mai Super Feed Co.,Ltd","National road 80, Vam Cong IP, Lap Vo district, Dong Thap province.",100.00%,100.00%,100.00%,100.00%,,100.0,100.0,100.0,100.0
"+ Sao Mai Solar Co.,Ltd","+ Sao Mai Solar Co.,Ltd","+ Sao Mai Solar Co.,Ltd","326 Hung Vuong, My Long, Long Xuyen, An Giang",100.00%,100.00%,100.00%,100.00%,,100.0,100.0,100.0,100.0
+ International Development and Investment Corporation (I.D.I),+ International Development and Investment Corporation (I.D.I),+ International Development and Investment Corporation (I.D.I),"National road 80, Vam Cong IP, Lap Vo district, Dong Thap province.",51.23%,51.23%,51.23%,51.23%,,51.23,51.23,51.23,51.23
+ Travel Investment and Seafood Development JSC,+ Travel Investment and Seafood Development JSC,+ Travel Investment and Seafood Development JSC,"National road 80, Vam Cong IP, Lap Vo district, Dong Thap province.",43.95%,43.95%,82.67%,82.67%,,43.95,43.95,82.67,82.67
+ Long An Europlast Solar Power Joint Stock Company,+ Long An Europlast Solar Power Joint Stock Company,+ Long An Europlast Solar Power Joint Stock Company,"Zone D, My Thanh Bac, Duc Huedistrict, Long An province.No. 1, Sub-zone 834, 3-storeycluster, Ea Po Commune, Cu JutDistrict, Dak Nong Province,Vietnam",86.40%,76.67%,95.67%,76.67%,,86.4,76.67,95.67,76.67
+ Vinh An Investment Company Dak Nong,+ Vinh An Investment Company Dak Nong,+ Vinh An Investment Company Dak Nong,"Zone D, My Thanh Bac, Duc Huedistrict, Long An province.No. 1, Sub-zone 834, 3-storeycluster, Ea Po Commune, Cu JutDistrict, Dak Nong Province,Vietnam",49.94%,49.94%,97.50%,97.50%,,49.94,49.94,97.5,97.5
"+ Maiky Japan Ecology Co.,Ltd","+ Maiky Japan Ecology Co.,Ltd","+ Maiky Japan Ecology Co.,Ltd","29 Tran Hung Dao, My Thoi Ward,Long Xuyen city, An Giang province",51.00%,,51.00%,,,51.0,,51.0,
+ Financial Investment & International Media Corporation (*),+ Financial Investment & International Media Corporation (*),+ Financial Investment & International Media Corporation (*),"326 Hung Vuong, My Long ward,Long Xuyen city, An Giang",,63.00%,,63.00%,,,63.0,,63.0
+ LT Construction Investment Limited Company,+ LT Construction Investment Limited Company,+ LT Construction Investment Limited Company,"National road 80, Vam Cong IP, LapVo district, Dong Thap province.",,100.00%,,100.00%,,,100.0,,100.0
