row_label_raw,row_label_full,08. TÀI SẢN DỔ DANG DÀI HẠN,08. TÀI SẢN DỔ DANG DÀI HẠN_1,08. TÀI SẢN DỔ DANG DÀI HẠN_2,numeric__08. TÀI SẢN DỔ DANG DÀI HẠN_1,numeric__08. TÀI SẢN DỔ DANG DÀI HẠN_2
,,,Số cuối năm,Số đầu năm,,
Xây dựng cơ bản (tiếp theo),Xây dựng cơ bản (tiếp theo),Xây dựng cơ bản (tiếp theo),Xây dựng cơ bản (tiếp theo),Xây dựng cơ bản (tiếp theo),,
- Khu Dân Cư Lam Sơn Sao Vàng,Xây dựng cơ bản (tiếp theo) > - Khu Dân Cư Lam Sơn Sao Vàng,- Khu Dân Cư Lam Sơn Sao Vàng,,6.904.811.700,,6904811700.0
- Khu Dân Cư Tân Châu - An Giang,Xây dựng cơ bản (tiếp theo) > - Khu Dân Cư Tân Châu - An Giang,- Khu Dân Cư Tân Châu - An Giang,,34.315.727.108,,34315727108.0
- Khu Dân Cư Sao Mai Bình Khánh 4,Xây dựng cơ bản (tiếp theo) > - Khu Dân Cư Sao Mai Bình Khánh 4,- Khu Dân Cư Sao Mai Bình Khánh 4,,1.000.000.000,,1000000000.0
- Khu Đô Thị Mới Sao Mai Tây Khánh 4+5 khu Mỹ Hòa,Xây dựng cơ bản (tiếp theo) > - Khu Đô Thị Mới Sao Mai Tây Khánh 4+5 khu Mỹ Hòa,- Khu Đô Thị Mới Sao Mai Tây Khánh 4+5 khu Mỹ Hòa,,1.000.000.000,,1000000000.0
"- Khu Đô Thị Mới Sao Mai xã Minh Sơn & TT Triệu Sơn, H.Triệu Sơn","Xây dựng cơ bản (tiếp theo) > - Khu Đô Thị Mới Sao Mai xã Minh Sơn & TT Triệu Sơn, H.Triệu Sơn","- Khu Đô Thị Mới Sao Mai xã Minh Sơn & TT Triệu Sơn, H.Triệu Sơn",,48.293.491.853,,48293491853.0
- Khu Resort Thọ Xuân Lamori Resort & Spa Thanh Hóa (KINGLE),Xây dựng cơ bản (tiếp theo) > - Khu Resort Thọ Xuân Lamori Resort & Spa Thanh Hóa (KINGLE),- Khu Resort Thọ Xuân Lamori Resort & Spa Thanh Hóa (KINGLE),429.680.781.098,28.488.829.637,429680781098.0,28488829637.0
- Dự án mua đất Mỹ Thới,Xây dựng cơ bản (tiếp theo) > - Dự án mua đất Mỹ Thới,- Dự án mua đất Mỹ Thới,172.128.860.429,158.405.184.676,172128860429.0,158405184676.0
- Công trình khác,Xây dựng cơ bản (tiếp theo) > - Công trình khác,- Công trình khác,36.254.836.050,20.397.016.045,36254836050.0,20397016045.0
Cộng,Xây dựng cơ bản (tiếp theo) > Cộng,Cộng,1.373.371.010.233,1.020.715.644.092,1373371010233.0,1020715644092.0
