row_label_raw,row_label_full,08. LONG-TERM ASSETS IN PROGRESSa) Long-term work in progressb) Long-term construction in progress,Ending Balance,Unit: VNDBeginning Balance,numeric__Ending Balance,numeric__Unit: VNDBeginning Balance
Purchase,Purchase,Purchase,"33,144,179,058","23,105,097,572",,
- Cold storage 4,- Cold storage 4,- Cold storage 4,"14,321,499,813","14,321,499,813",,
- Others,- Others,- Others,"18,822,679,245","8,783,597,759",,
Capital investment,Capital investment,Capital investment,"1,340,226,831,175","997,610,546,520",,
- GTGT BK3,- GTGT BK3,- GTGT BK3,,"1,147,923,083",,
- Hoa Binh residential area,- Hoa Binh residential area,- Hoa Binh residential area,,"1,653,591,160",,
- Building HCM,- Building HCM,- Building HCM,"49,137,782,570","49,137,782,570",,
- My Tho urban area,- My Tho urban area,- My Tho urban area,,"882,034,099",,
- Cold storage 4,- Cold storage 4,- Cold storage 4,"145,580,345,953","142,935,148,514",,
- Solar Project In Ea H'Leo District - Dak Lak,- Solar Project In Ea H'Leo District - Dak Lak,- Solar Project In Ea H'Leo District - Dak Lak,"174,000,000","174,000,000",,
- Solar energy power plant - Tinh Bien,- Solar energy power plant - Tinh Bien,- Solar energy power plant - Tinh Bien,"55,992,877,500","55,992,877,500",,
- Investment cost for construction of Tra Su An Giang Tourist Area,- Investment cost for construction of Tra Su An Giang Tourist Area,- Investment cost for construction of Tra Su An Giang Tourist Area,"49,959,422,575","45,564,203,523",,
- Investment cost of An Hao solar tourism project,- Investment cost of An Hao solar tourism project,- Investment cost of An Hao solar tourism project,,,,
- Urban Binh Long - An Giang,- Urban Binh Long - An Giang,- Urban Binh Long - An Giang,"401,317,925,000","401,317,925,000",,
- Lam Son Residential Area Gold Star,- Lam Son Residential Area Gold Star,- Lam Son Residential Area Gold Star,,"6,904,811,700",,
- Tan Chau Residential Area - An Giang,- Tan Chau Residential Area - An Giang,- Tan Chau Residential Area - An Giang,,"34,315,727,108",,
- Sao Mai Residential Area Binh Khanh 4,- Sao Mai Residential Area Binh Khanh 4,- Sao Mai Residential Area Binh Khanh 4,,"1,000,000,000",,
- Sao Mai Tay Khanh New Urban Area 4+5 My Hoa area,- Sao Mai Tay Khanh New Urban Area 4+5 My Hoa area,- Sao Mai Tay Khanh New Urban Area 4+5 My Hoa area,,"1,000,000,000",,
"- Sao Mai New Urban Area, Minh Son Commune & Trieu Son Town,Trieu Son District","- Sao Mai New Urban Area, Minh Son Commune & Trieu Son Town,Trieu Son District","- Sao Mai New Urban Area, Minh Son Commune & Trieu Son Town,Trieu Son District",,"48,293,491,853",,
- Tho Xuan Resort Thanh Hoa Lamori Resort & Spa (KINGLE),- Tho Xuan Resort Thanh Hoa Lamori Resort & Spa (KINGLE),- Tho Xuan Resort Thanh Hoa Lamori Resort & Spa (KINGLE),"429,680,781,098","28,488,829,637",,
- Seasoning powder project,- Seasoning powder project,- Seasoning powder project,,,,
- My Thoi land purchase project,- My Thoi land purchase project,- My Thoi land purchase project,"172,128,860,429","158,405,184,676",,
- Others,- Others,- Others,"36,254,836,050","20,397,016,045",,
Total,Total,Total,"1,373,371,010,233","1,020,715,644,092",,
