row_label_raw,row_label_full,Lender,Contract/Debt contract,Maturity/Loan (VND),Maturity/Loan (VND)_1,Outstanding balance,Outstanding balance_1,Term (Month),Interest rate (%),Purpose,Form of security,numeric__Contract/Debt contract,numeric__Maturity/Loan (VND),numeric__Maturity/Loan (VND)_1,numeric__Outstanding balance,numeric__Outstanding balance_1,numeric__Term (Month),numeric__Interest rate (%),numeric__Purpose,numeric__Form of security
Lender,Lender,Lender,Contract/Debt contract,USD,VND,USD,VND,Term (Month),Interest rate (%),Purpose,Form of security,,,,,,,,,
BPCE IOM - BRANCH Ho Chi Minh City,Lender > BPCE IOM - BRANCH Ho Chi Minh City,BPCE IOM - BRANCH Ho Chi Minh City,FCA000659-2024 dated 02/01/2024 and amended and supplemented PL No. FCA000659-2024/01 dated 03/12/2024,"3,500,000","81,200,000,000",,"82,492,223,123",6,According to each debt-receiving contract,Supplement working capital for production,Term deposits,,,,,,6.0,,,
China Construction Bank Corporation - HCM City,Lender > China Construction Bank Corporation - HCM City,China Construction Bank Corporation - HCM City,FAGSTF/2018-005APP5 Date 08/09/2023,"7,000,000","162,400,000,000",,"153,874,160,400",9,According to each debt-receiving contract,Supplement working capital for production,Company's land use right,,,,,,9.0,,,
Vietnam Maritime Commercial Joint Stock Bank (MSB) - An Giang Branch,Lender > Vietnam Maritime Commercial Joint Stock Bank (MSB) - An Giang Branch,Vietnam Maritime Commercial Joint Stock Bank (MSB) - An Giang Branch,112-00018879.01692/2024/HDTD Date 11/06/2024,,"100,000,000,000","748,031","19,112,940,081",6,According to each debt-receiving contract,Supplement working capital for production,Term deposits,,,,748.031,,6.0,,,
Vietnam Joint Stock Commercial Bank for Industry and Trade (Vietinbank) - Dong Thap Branch - LapVo,Lender > Vietnam Joint Stock Commercial Bank for Industry and Trade (Vietinbank) - Dong Thap Branch - LapVo,Vietnam Joint Stock Commercial Bank for Industry and Trade (Vietinbank) - Dong Thap Branch - LapVo,397/2023/HDCVH M/NHCT720-IDI date 26/12/2023 and PL amended and supplemented No. 397/2023-HDCVHM-SDBS02/NHCT72 0-IDI dated 24/12/2024,,"400,000,000,000","14,721,200","376,141,372,513",8,According to each debt-receiving contract,Supplement working capital for production,Other assets and deposits,,,,,,8.0,,,
Ho Chi Minh City Development Bank (HDBank) - Vung Tau Branch,Lender > Ho Chi Minh City Development Bank (HDBank) - Vung Tau Branch,Ho Chi Minh City Development Bank (HDBank) - Vung Tau Branch,29752/23MN/HDTD Date 07/11/2023,,"400,000,000,000","3,448,942","88,123,917,042",6,According to each debt-receiving contract,Supplement working capital for production,Other assets,,,,,,6.0,,,
