row_label_raw,row_label_full,Name,Closing balance,Opening balance,Closing balance_1,Opening balance_1,numeric__Closing balance,numeric__Opening balance,numeric__Closing balance_1,numeric__Opening balance_1
Direct investment in subsidiaries:,Direct investment in subsidiaries:,Direct investment in subsidiaries:,Direct investment in subsidiaries:,Direct investment in subsidiaries:,Direct investment in subsidiaries:,Direct investment in subsidiaries:,,,,
1. Dung Thinh Phat Sai Gon Joint Stock Company,Direct investment in subsidiaries: > 1. Dung Thinh Phat Sai Gon Joint Stock Company,1. Dung Thinh Phat Sai Gon Joint Stock Company,66.00%,66.00%,66.00%,66.00%,66.0,66.0,66.0,66.0
2. Dong Thap Tourist Joint Stock Company,Direct investment in subsidiaries: > 2. Dong Thap Tourist Joint Stock Company,2. Dong Thap Tourist Joint Stock Company,86.76%,86.76%,86.76%,86.76%,86.76,86.76,86.76,86.76
3. An Giang Tourimex Joint Stock Company,Direct investment in subsidiaries: > 3. An Giang Tourimex Joint Stock Company,3. An Giang Tourimex Joint Stock Company,71.82%,71.82%,71.82%,71.82%,71.82,71.82,71.82,71.82
4. Nhut Hong Joint Stock Company,Direct investment in subsidiaries: > 4. Nhut Hong Joint Stock Company,4. Nhut Hong Joint Stock Company,60.00%,60.00%,60.00%,60.00%,60.0,60.0,60.0,60.0
"5. Sao Mai Super Feed Co.,Ltd","Direct investment in subsidiaries: > 5. Sao Mai Super Feed Co.,Ltd","5. Sao Mai Super Feed Co.,Ltd",100.00%,100.00%,100.00%,100.00%,100.0,100.0,100.0,100.0
"6. Sao Mai Solar Co.,Ltd","Direct investment in subsidiaries: > 6. Sao Mai Solar Co.,Ltd","6. Sao Mai Solar Co.,Ltd",100.00%,100.00%,100.00%,100.00%,100.0,100.0,100.0,100.0
7. International Development and Investment Corporation (I.D.I),Direct investment in subsidiaries: > 7. International Development and Investment Corporation (I.D.I),7. International Development and Investment Corporation (I.D.I),51.23%,51.23%,51.23%,51.23%,51.23,51.23,51.23,51.23
"8. Maiky Japan Ecology Co.,Ltd","Direct investment in subsidiaries: > 8. Maiky Japan Ecology Co.,Ltd","8. Maiky Japan Ecology Co.,Ltd",51.00%,,51.00%,,51.0,,51.0,
9. Long An Europlast Solar Power Joint Stock Company,Direct investment in subsidiaries: > 9. Long An Europlast Solar Power Joint Stock Company,9. Long An Europlast Solar Power Joint Stock Company,86.40%,86.40%,95.67%,95.67%,86.4,86.4,95.67,95.67
10. Financial Investment & International Media Corporation (*),Direct investment in subsidiaries: > 10. Financial Investment & International Media Corporation (*),10. Financial Investment & International Media Corporation (*),,63.00%,,63.00%,,63.0,,63.0
Indirect investments in subsidiaries:,Indirect investments in subsidiaries:,Indirect investments in subsidiaries:,Indirect investments in subsidiaries:,Indirect investments in subsidiaries:,Indirect investments in subsidiaries:,Indirect investments in subsidiaries:,,,,
11. Travel Investment & Seafood Development Corporation,Indirect investments in subsidiaries: > 11. Travel Investment & Seafood Development Corporation,11. Travel Investment & Seafood Development Corporation,43.95%,43.95%,82.67%,82.67%,43.95,43.95,82.67,82.67
12. Vinh An Investment Company Dak Nong,Indirect investments in subsidiaries: > 12. Vinh An Investment Company Dak Nong,12. Vinh An Investment Company Dak Nong,49.94%,49.94%,97.50%,97.50%,49.94,49.94,97.5,97.5
13. LT Construction Investment Limited Company (**),Indirect investments in subsidiaries: > 13. LT Construction Investment Limited Company (**),13. LT Construction Investment Limited Company (**),,100.00%,,100.00%,,100.0,,100.0
