row_label_raw,row_label_full,Code,Item,Note,Current year,Previous year,numeric__Item,numeric__Note,numeric__Current year,numeric__Previous year
,,,III. Cash flows from financial activities,,,,,,,
31,31,31,Proceeds from issuance of shares and receipt of contributed capital,,"8,330,000,000",,,,,
32,32,32,Repayments of contributed capital and repurchase of stock issued,,,,,,,
33,33,33,Proceeds from borrowings,,"15,702,935,454,408","17,267,448,054,598",,,,
34,34,34,Repayment of principal,,"(12,757,217,763,461)","(16,195,280,370,344)",,,,
35,35,35,Repayment of financial principal,,"(80,085,884,960)","(89,959,031,467)",,,,
36,36,36,Dividends or profits paid to owners,,"(27,878,365,770)","(32,966,778,849)",,,,
40,40,40,Net cash flows from financial activities,,"2,846,083,440,217","949,241,873,938",,,,
50,50,50,Net cash flows during the fiscal year,,"705,686,507,882","517,336,276,472",,,,
60,60,60,Cash and cash equivalents at the beginning of fiscal year,,"1,365,023,440,747","847,857,871,091",,,,
61,61,61,Effect of exchange rate fluctuations,,"(407,509,266)","(170,706,816)",,,,
70,70,70,Cash and cash equivalents at the end of fiscal year,,"2,070,302,439,363","1,365,023,440,747",,,,
