row_label_raw,row_label_full,24. 5. Funds,Ending Balance,Beginning Balance,numeric__Ending Balance,numeric__Beginning Balance
Investment and development fund,Investment and development fund,Investment and development fund,"158,221,233,457","145,525,353,651",,
Enterprise reorganization assistance fund,Enterprise reorganization assistance fund,Enterprise reorganization assistance fund,"6,210,490,583","5,987,831,202",,
Other funds,Other funds,Other funds,"8,711,671,202","8,489,011,821",,
