row_label_raw,row_label_full,Name,Address,Ratio of benefit > Ending Balance,Ratio of benefit > Beginning Balance,Ratio of voting power > Ending Balance,Ratio of voting power > Beginning Balance,numeric__Address,numeric__Ratio of benefit > Ending Balance,numeric__Ratio of benefit > Beginning Balance,numeric__Ratio of voting power > Ending Balance,numeric__Ratio of voting power > Beginning Balance
+Dung Thinh Phat Sai Gon JSC,+Dung Thinh Phat Sai Gon JSC,+Dung Thinh Phat Sai Gon JSC,"09 Nguyen Kim, 12 ward, 5 district, HCMC",66.00%,66.00%,66.00%,66.00%,,66.0,66.0,66.0,66.0
+Dong Thap Tourist JSC,+Dong Thap Tourist JSC,+Dong Thap Tourist JSC,"06 Doc Binh Kieu, 2 ward, Cao Lanh city, Dong Thap province",86.76%,86.76%,86.76%,86.76%,,86.76,86.76,86.76,86.76
