row_label_raw,row_label_full,Item,Ending Balance,Beginning Balance,numeric__Ending Balance,numeric__Beginning Balance
Cash and cash equivalents,Cash and cash equivalents,Cash and cash equivalents,"939,520","1,951,163",939.52,
Trade receivables and other receivables,Trade receivables and other receivables,Trade receivables and other receivables,"12,891,902","7,705,519",,
Trade payables and other payables,Trade receivables and other receivables > Trade payables and other payables,Trade payables and other payables,"(184,374)","(275,604)",-184.374,-275.604
Borrowings and finance lease liabilities,Borrowings and finance lease liabilities,Borrowings and finance lease liabilities,"(61,910,746)","(45,041,462)",,
Net monetary assets/(liabilities),Net monetary assets/(liabilities),Net monetary assets/(liabilities),"(48,263,699)","(35,660,384)",,
