row_label_raw,row_label_full,Chỉ tiêu,An Giang,Đồng Tháp,Khu vực khác,Tổng cộng,An Giang_1,Đồng Tháp_1,Khu vực khác_1,Tổng cộng_1,numeric__An Giang,numeric__Đồng Tháp,numeric__Khu vực khác,numeric__Tổng cộng,numeric__An Giang_1,numeric__Đồng Tháp_1,numeric__Khu vực khác_1,numeric__Tổng cộng_1
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,2.748.343.764.650,9.048.302.882.862,216.471.242.488,12.013.117.890.000,2.708.669.455.725,9.062.099.067.123,202.385.229.259,11.973.153.752.107,2748343764650.0,9048302882862.0,216471242488.0,12013117890000.0,2708669455725.0,9062099067123.0,202385229259.0,11973153752107.0
Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,2.748.343.764.650,9.048.302.882.862,216.471.242.488,12.013.117.890.000,2.708.669.455.725,9.062.099.067.123,202.385.229.259,11.973.153.752.107,2748343764650.0,9048302882862.0,216471242488.0,12013117890000.0,2708669455725.0,9062099067123.0,202385229259.0,11973153752107.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,514.139.852.661,717.115.234.603,146.149.961.057,1.377.405.048.321,500.226.792.333,697.525.118.720,143.223.958.476,1.340.975.869.529,514139852661.0,717115234603.0,146149961057.0,1377405048321.0,500226792333.0,697525118720.0,143223958476.0,1340975869529.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,(514.834.854.426),,,,(464.311.271.821),,,,-514834854426.0,,,,-464311271821.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,862.570.193.895,,,,876.664.597.708,,,,862570193895.0,,,,876664597708.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,198.142.208.396,,,,233.545.689.673,,,,198142208396.0,,,,233545689673.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,(721.962.932.465),,,,(791.357.925.125),,,,-721962932465.0,,,,-791357925125.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,16.881.213.068,,,,18.093.937.205,,,,16881213068.0,,,,18093937205.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,(38.536.685.879),,,,(17.804.875.305),,,,-38536685879.0,,,,-17804875305.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,(64.255.361.446),,,,(70.582.325.528),,,,-64255361446.0,,,,-70582325528.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,(1.851.997.520),,,,3.140.272.584,,,,-1851997520.0,,,,3140272584.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,250.986.638.049,,,,251.699.371.212,,,,250986638049.0,,,,251699371212.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,(254.360.620.505),,,,(239.077.925.477),,,,-254360620505.0,,,,-239077925477.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,,,,(438.448.735.221),,,,(450.585.527.054),,,,-438448735221.0,,,,-450585527054.0
