row_label_raw,row_label_full,col_0,Value,Provision,Value_1,Provision_1,numeric__Value,numeric__Provision,numeric__Value_1,numeric__Provision_1
a) Other short-term receivables,a) Other short-term receivables,a) Other short-term receivables,"320,946,430,834","(528,000,000)","309,491,354,018","(528,000,000)",,,,
Advances,Advances,Advances,"239,281,294,870",,"226,471,646,212",,,,,
- Bui Thi Ngoc Linh,- Bui Thi Ngoc Linh,- Bui Thi Ngoc Linh,"28,753,397,000",,"11,141,417,000",,,,,
- Le Van Ba,- Le Van Ba,- Le Van Ba,"19,511,827,000",,"18,991,827,000",,,,,
- Other employees,- Other employees,- Other employees,"191,016,070,870",,"196,338,402,212",,,,,
Other receivables,Other receivables,Other receivables,"77,834,435,964","(528,000,000)","79,189,007,806","(528,000,000)",,,,
+ Finance Leasing Company Limited - Vietnam Joint Stock Commercial Bank For Industry And Trade,+ Finance Leasing Company Limited - Vietnam Joint Stock Commercial Bank For Industry And Trade,+ Finance Leasing Company Limited - Vietnam Joint Stock Commercial Bank For Industry And Trade,"1,952,194,769",,"3,540,447,677",,,,,
+ Tax Department of Dong Thap province - tax refund,+ Tax Department of Dong Thap province - tax refund,+ Tax Department of Dong Thap province - tax refund,"16,565,382,177",,"18,465,382,177",,,,,
+ Huynh Phu Cuong,+ Huynh Phu Cuong,+ Huynh Phu Cuong,"26,514,170,000",,"26,514,170,000",,,,,
+ Other receivables,+ Other receivables,+ Other receivables,"32,802,689,018","(528,000,000)","30,669,007,952","(528,000,000)",,,,
Deposits,Deposits,Deposits,"3,830,700,000",,"3,830,700,000",,,,,
b) Other long-term receivables,b) Other long-term receivables,b) Other long-term receivables,"32,862,815,013",,"35,349,350,763",,,,,
Deposits,Deposits,Deposits,"32,862,815,013",,"35,349,350,763",,,,,
Total,Total,Total,"353,809,245,847","(528,000,000)","344,840,704,781","(528,000,000)",,,,
