row_label_raw,row_label_full,(*) Thông tin trình bày bổ sung chi tiết các khoản vay ngắn hạn > Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (MSB) - CN An Giang,Số cuối năm > 41.858.047.780,Số đầu năm > 99.473.817.794,numeric__Số cuối năm > 41.858.047.780,numeric__Số đầu năm > 99.473.817.794
Ngân hàng Thương mại Cổ phần Tiến Phong - CN An Giang,Ngân hàng Thương mại Cổ phần Tiến Phong - CN An Giang,Ngân hàng Thương mại Cổ phần Tiến Phong - CN An Giang,10.242.734.420,10.000.411.750,10242734420.0,10000411750.0
Ngân hàng TNHH MTV United Overseas Bank (Việt Nam) - CN Hội Sở,Ngân hàng TNHH MTV United Overseas Bank (Việt Nam) - CN Hội Sở,Ngân hàng TNHH MTV United Overseas Bank (Việt Nam) - CN Hội Sở,20.377.812.240,20.153.234.104,20377812240.0,20153234104.0
Ngân hàng TMCP Phát Triển TP Hồ Chí Minh - CN Vũng Tàu - PGD Rạch Dừa,Ngân hàng TMCP Phát Triển TP Hồ Chí Minh - CN Vũng Tàu - PGD Rạch Dừa,Ngân hàng TMCP Phát Triển TP Hồ Chí Minh - CN Vũng Tàu - PGD Rạch Dừa,555.094.160,,555094160.0,
Ngân hàng TMCP Thịnh vượng và Phát triển - CN An Giang,Ngân hàng TMCP Thịnh vượng và Phát triển - CN An Giang,Ngân hàng TMCP Thịnh vượng và Phát triển - CN An Giang,59.760.458.400,,59760458400.0,
NH TMCP Thịnh Vượng và Phát Triển - CN Hà Nội,NH TMCP Thịnh Vượng và Phát Triển - CN Hà Nội,NH TMCP Thịnh Vượng và Phát Triển - CN Hà Nội,11.780.000.000,,11780000000.0,
Ngân hàng TMCP Phát triển TP.HCM - PGD Rạch Dừa,Ngân hàng TMCP Phát triển TP.HCM - PGD Rạch Dừa,Ngân hàng TMCP Phát triển TP.HCM - PGD Rạch Dừa,50.000.000,,50000000.0,
Ngân hàng Fisrt Commercial Bank - CN TP Hồ Chí Minh,Ngân hàng Fisrt Commercial Bank - CN TP Hồ Chí Minh,Ngân hàng Fisrt Commercial Bank - CN TP Hồ Chí Minh,398.595.600.000,,398595600000.0,
Vay cá nhân,Vay cá nhân,Vay cá nhân,708.728.675.677,493.372.212.190,708728675677.0,493372212190.0
(*) Chi tiết các khoản vay dài hạn đến hạn trả,(*) Chi tiết các khoản vay dài hạn đến hạn trả,(*) Chi tiết các khoản vay dài hạn đến hạn trả,(*) Chi tiết các khoản vay dài hạn đến hạn trả,(*) Chi tiết các khoản vay dài hạn đến hạn trả,,
Ngân hàng First Commercial Bank - CN TP. Hồ Chí Minh,(*) Chi tiết các khoản vay dài hạn đến hạn trả > Ngân hàng First Commercial Bank - CN TP. Hồ Chí Minh,Ngân hàng First Commercial Bank - CN TP. Hồ Chí Minh,72.000.000.000,,72000000000.0,
Ngân hàng Công Thương - CN Đông - Hà Nội,(*) Chi tiết các khoản vay dài hạn đến hạn trả > Ngân hàng Công Thương - CN Đông - Hà Nội,Ngân hàng Công Thương - CN Đông - Hà Nội,,25.850.000.000,,25850000000.0
Ngân hàng Công Thương - CN Đồng Tháp,(*) Chi tiết các khoản vay dài hạn đến hạn trả > Ngân hàng Công Thương - CN Đồng Tháp,Ngân hàng Công Thương - CN Đồng Tháp,284.000.000.000,227.000.000.000,284000000000.0,227000000000.0
Ngân hàng TMCP Việt nam Thịnh Vượng - CN An Giang,(*) Chi tiết các khoản vay dài hạn đến hạn trả > Ngân hàng TMCP Việt nam Thịnh Vượng - CN An Giang,Ngân hàng TMCP Việt nam Thịnh Vượng - CN An Giang,11.934.000.000,,11934000000.0,
Ngân hàng First Comercial Bank - Chi nhánh TP.HCM,(*) Chi tiết các khoản vay dài hạn đến hạn trả > Ngân hàng First Comercial Bank - Chi nhánh TP.HCM,Ngân hàng First Comercial Bank - Chi nhánh TP.HCM,40.000.000.000,,40000000000.0,
Ngân hàng China Construction Corporation - CN TP.HCM,(*) Chi tiết các khoản vay dài hạn đến hạn trả > Ngân hàng China Construction Corporation - CN TP.HCM,Ngân hàng China Construction Corporation - CN TP.HCM,64.000.000.000,5.000.000.000,64000000000.0,5000000000.0
Đối tượng khác,(*) Chi tiết các khoản vay dài hạn đến hạn trả > Đối tượng khác,Đối tượng khác,,58.908.000.000,,58908000000.0
Tổng cộng:,(*) Chi tiết các khoản vay dài hạn đến hạn trả > Tổng cộng:,Tổng cộng:,6.692.847.697.361,6.473.012.996.825,6692847697361.0,6473012996825.0
