row_label_raw,row_label_full,Số đầu năm,Năm nay > -,Năm trước > -,numeric__Năm nay > -,numeric__Năm trước > -
Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,8.590.779.322,4.796.090.637,8590779322.0,4796090637.0
Chi quỹ,Chi quỹ,Chi quỹ,(6.571.690.581),(4.796.090.637),-6571690581.0,-4796090637.0
Số cuối năm,Số cuối năm,Số cuối năm,2.019.088.741,-,2019088741.0,
