row_label_raw,row_label_full,col_0,Thời gian quá hạn,Số cuối năm > Giá gốc,Số cuối năm > Giá trị có thể thu hồi,Thời gian quá hạn_1,Số đầu năm > Giá gốc,Số đầu năm > Giá trị có thể thu hồi,numeric__Thời gian quá hạn,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị có thể thu hồi,numeric__Thời gian quá hạn_1,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị có thể thu hồi
Công ty Cổ phần Phát triển Đô thị,Công ty Cổ phần Phát triển Đô thị,Công ty Cổ phần Phát triển Đô thị,Công ty Cổ phần Phát triển Đô thị,Công ty Cổ phần Phát triển Đô thị,Công ty Cổ phần Phát triển Đô thị,Công ty Cổ phần Phát triển Đô thị,Công ty Cổ phần Phát triển Đô thị,Công ty Cổ phần Phát triển Đô thị,,,,,,
Phải thu tiền bán bắt động sản,Công ty Cổ phần Phát triển Đô thị > Phải thu tiền bán bắt động sản,Phải thu tiền bán bắt động sản,Dưới 06 tháng,-,-,Dưới 06 tháng,54.586.314.000,54.586.314.000,,,,,54586314000.0,54586314000.0
Phải thu tiền bán bắt động sản,Công ty Cổ phần Phát triển Đô thị > Phải thu tiền bán bắt động sản,Phải thu tiền bán bắt động sản,Từ 06 tháng đến 01 năm,54.586.314.000,54.586.314.000,Từ 06 tháng đến 01 năm,24.586.314.000,24.586.314.000,,54586314000.0,54586314000.0,,24586314000.0,24586314000.0
Phải thu tiền bán bắt động sản,Công ty Cổ phần Phát triển Đô thị > Phải thu tiền bán bắt động sản,Phải thu tiền bán bắt động sản,Từ 01 đến 02 năm,69.172.628.800,69.172.628.800,Từ 01 đến 02 năm,-,-,,69172628800.0,69172628800.0,,,
Các tổ chức và cá nhân khác,Công ty Cổ phần Phát triển Đô thị > Các tổ chức và cá nhân khác,Các tổ chức và cá nhân khác,,429.353.370.210,429.353.370.210,,430.390.920.831,430.390.920.831,,429353370210.0,429353370210.0,,430390920831.0,430390920831.0
Công ty Cổ phần Dịch vụ Thương mại và Xây dựng Địa ốc Kim Oanh,Công ty Cổ phần Dịch vụ Thương mại và Xây dựng Địa ốc Kim Oanh,Công ty Cổ phần Dịch vụ Thương mại và Xây dựng Địa ốc Kim Oanh,,,,,,,,,,,,
Phải thu tiền bán bắt động sản,Công ty Cổ phần Dịch vụ Thương mại và Xây dựng Địa ốc Kim Oanh > Phải thu tiền bán bắt động sản,Phải thu tiền bán bắt động sản,Từ 01 đến 02 năm,-,-,Từ 01 đến 02 năm,264.375.000,264.375.000,,,,,264375000.0,264375000.0
Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,,,,,,,,,,,,
Phải thu tiền bán bắt động sản,Phải thu các tổ chức và cá nhân khác > Phải thu tiền bán bắt động sản,Phải thu tiền bán bắt động sản,Dưới 06 tháng,63.707.466.242,63.707.466.242,Dưới 06 tháng,61.473.983.239,61.473.983.239,,63707466242.0,63707466242.0,,61473983239.0,61473983239.0
Phải thu tiền bán bắt động sản,Phải thu các tổ chức và cá nhân khác > Phải thu tiền bán bắt động sản,Phải thu tiền bán bắt động sản,Từ 06 tháng đến 01 năm,38.210.356.999,38.210.356.999,Từ 06 tháng đến 01 năm,47.137.289.600,47.137.289.600,,38210356999.0,38210356999.0,,47137289600.0,47137289600.0
Phải thu tiền bán bắt động sản,Phải thu các tổ chức và cá nhân khác > Phải thu tiền bán bắt động sản,Phải thu tiền bán bắt động sản,Từ 01 đến 02 năm,82.588.296.720,82.588.296.720,Từ 01 đến 02 năm,98.033.293.391,98.033.293.391,,82588296720.0,82588296720.0,,98033293391.0,98033293391.0
Phải thu tiền bán bắt động sản,Phải thu các tổ chức và cá nhân khác > Phải thu tiền bán bắt động sản,Phải thu tiền bán bắt động sản,Từ 02 đến 03 năm,78.243.438.637,78.243.438.637,Từ 02 đến 03 năm,98.373.256.416,98.373.256.416,,78243438637.0,78243438637.0,,98373256416.0,98373256416.0
Phải thu tiền bán bắt động sản,Phải thu các tổ chức và cá nhân khác > Phải thu tiền bán bắt động sản,Phải thu tiền bán bắt động sản,Trên 03 năm,166.603.811.612,166.603.811.612,Trên 03 năm,125.108.723.185,125.108.723.185,,166603811612.0,166603811612.0,,125108723185.0,125108723185.0
Cộng,Phải thu các tổ chức và cá nhân khác > Cộng,Cộng,,565.008.763.010,565.008.763.010,,513.967.674.831,513.967.674.831,,565008763010.0,565008763010.0,,513967674831.0,513967674831.0
