row_label_raw,row_label_full,col_0,Lĩnh vực bán vế câu dưỡng,Lĩnh vực kinh doanh bất động sản,Lĩnh vực kinh doanh bất động sản đầu tư,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các lĩnh vực khác,Cộng,numeric__Lĩnh vực bán vế câu dưỡng,numeric__Lĩnh vực kinh doanh bất động sản,numeric__Lĩnh vực kinh doanh bất động sản đầu tư,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các lĩnh vực khác,numeric__Cộng
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,,,,,
Tài sản trực tiếp của bộ phận,Số cuối năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,503.316.058.916,6.560.406.115.731,166.420.664.827,27.679.998.375,486.232.318.315,15.728.597.222,7.759.783.753.386,503316058916.0,6560406115731.0,166420664827.0,27679998375.0,486232318315.0,15728597222.0,7759783753386.0
Các tài sản không phân bổ theo bộ phận,Số cuối năm > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,,,,285.139.825.897,,,,,,,285139825897.0
Tổng tài sản,Số cuối năm > Tổng tài sản,Tổng tài sản,,,,,,,8.044.923.579.283,,,,,,,8044923579283.0
Nợ phải trả trực tiếp của bộ phận,Số cuối năm > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,18.612.665.749,4.540.920.692.850,196.541.679.804,112.493.929.298,48.972.147.185,-,4.917.541.114.886,18612665749.0,4540920692850.0,196541679804.0,112493929298.0,48972147185.0,,4917541114886.0
Nợ phải trả không phân bổ theo bộ phận,Số cuối năm > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,,1.411.863.318.690,,,,,,,1411863318690.0
Tổng nợ phải trả,Số cuối năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,6.329.404.433.576,,,,,,,6329404433576.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,,
Tài sản trực tiếp của bộ phận,Số đầu năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,542.530.873.569,6.509.386.707.953,186.115.966.545,83.469.147.484,493.667.742.016,25.088.835.379,7.840.259.272.946,542530873569.0,6509386707953.0,186115966545.0,83469147484.0,493667742016.0,25088835379.0,7840259272946.0
Các tài sản không phân bổ theo bộ phận,Số đầu năm > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,,,,136.066.800.544,,,,,,,136066800544.0
Tổng tài sản,Số đầu năm > Tổng tài sản,Tổng tài sản,,,,,,,7.976.326.073.490,,,,,,,7976326073490.0
Nợ phải trả trực tiếp của bộ phận,Số đầu năm > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,19.172.957.092,4.918.211.030.031,209.055.691.231,185.412.355.242,-,1.225.336.594,5.333.077.370.190,19172957092.0,4918211030031.0,209055691231.0,185412355242.0,,1225336594.0,5333077370190.0
Nợ phải trả không phân bổ theo bộ phận,Số đầu năm > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,,995.296.899.702,,,,,,,995296899702.0
Tổng nợ phải trả,Số đầu năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,6.328.374.269.892,,,,,,,6328374269892.0
