row_label_raw,row_label_full,col_0,Số đầu năm,Số tiền vay phát sinh trong năm,Kết chuyển từ vay dài hạn,Số tiền vay đã trả trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số tiền vay phát sinh trong năm,numeric__Kết chuyển từ vay dài hạn,numeric__Số tiền vay đã trả trong năm,numeric__Số cuối năm
Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,413.387.129.947,557.964.004.281,-,(582.706.297.983),388.644.836.245,413387129947.0,557964004281.0,,-582706297983.0,388644836245.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,189.750.000.000,-,164.751.600.000,(189.750.000.000),164.751.600.000,189750000000.0,,164751600000.0,-189750000000.0,164751600000.0
Trái phiếu thường dài hạn đến hạn trả,Trái phiếu thường dài hạn đến hạn trả,Trái phiếu thường dài hạn đến hạn trả,-,-,1.000.000.000.000,-,1.000.000.000.000,,,1000000000000.0,,1000000000000.0
Cộng,Cộng,Cộng,603.137.129.947,557.964.004.281,1.164.751.600.000,(772.456.297.983),1.553.396.436.245,603137129947.0,557964004281.0,1164751600000.0,-772456297983.0,1553396436245.0
