row_label_raw,row_label_full,Công ty Liên doanh TNHH Khu công nghiệp Việt Nam - Singapore,Năm nay > Công ty Liên doanh TNHH Khu công nghiệp Việt Nam - Singapore,Năm trước > Công ty Liên doanh TNHH Khu công nghiệp Việt Nam - Singapore,numeric__Năm nay > Công ty Liên doanh TNHH Khu công nghiệp Việt Nam - Singapore,numeric__Năm trước > Công ty Liên doanh TNHH Khu công nghiệp Việt Nam - Singapore
Thi công hạ tầng,Thi công hạ tầng,Thi công hạ tầng,39.678.476.171,4.071.922.832,39678476171.0,4071922832.0
Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,,
Cung cấp điện,Công ty Cổ phần Xây dựng và Giao thông Bình Dương > Cung cấp điện,Cung cấp điện,-,361.781.781,,361781781.0
