row_label_raw,row_label_full,col_0,Mã số,Số liệu trước điều chỉnh,Các điều chỉnh,Số liệu sau điều chỉnh,numeric__Mã số,numeric__Số liệu trước điều chỉnh,numeric__Các điều chỉnh,numeric__Số liệu sau điều chỉnh
Bảng cân đối kế toán,Bảng cân đối kế toán,Bảng cân đối kế toán,Bảng cân đối kế toán,Bảng cân đối kế toán,Bảng cân đối kế toán,Bảng cân đối kế toán,,,,
Phải thu ngắn hạn của khách hàng,Bảng cân đối kế toán > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,621.050.888.998,22.135.757.761,643.186.646.759,131.0,621050888998.0,22135757761.0,643186646759.0
Phải thu ngắn hạn khác,Bảng cân đối kế toán > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,38.147.367.183,690.833.164,38.838.200.347,136.0,38147367183.0,690833164.0,38838200347.0
Hàng tồn kho,Bảng cân đối kế toán > Hàng tồn kho,Hàng tồn kho,141,5.343.756.115.637,(14.260.755.531),5.329.495.360.106,141.0,5343756115637.0,-14260755531.0,5329495360106.0
Phải trả người bán ngắn hạn,Bảng cân đối kế toán > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,2.282.157.533.366,984.203.034,2.283.141.736.400,311.0,2282157533366.0,984203034.0,2283141736400.0
Người mua trả tiền trước ngắn hạn,Bảng cân đối kế toán > Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,91.345.542.579,(76.920.279.870),14.425.262.709,312.0,91345542579.0,-76920279870.0,14425262709.0
Thuế và các khoản phải nộp Nhà nước,Bảng cân đối kế toán > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,5.752.928.029,2.430.609.718,8.183.537.747,313.0,5752928029.0,2430609718.0,8183537747.0
Chi phí phải trả ngắn hạn,Bảng cân đối kế toán > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,392.672.183.043,3.043.649.576,395.715.832.619,315.0,392672183043.0,3043649576.0,395715832619.0
Phải trả ngắn hạn khác,Bảng cân đối kế toán > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,593.018.801.564,708.027.988,593.726.829.552,319.0,593018801564.0,708027988.0,593726829552.0
Doanh thu chưa thực hiện dài hạn,Bảng cân đối kế toán > Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,336,-,76.920.279.870,76.920.279.870,336.0,,76920279870.0,76920279870.0
Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,Bảng cân đối kế toán > Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,178.756.529.720,1.399.345.078,180.155.874.798,,178756529720.0,1399345078.0,180155874798.0
Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,,,,
Doanh thu bán hàng và cung cấp dịch vụ,Báo cáo kết quả hoạt động kinh doanh > Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,802.468.091.939,22.616.062.056,825.084.153.995,1.0,802468091939.0,22616062056.0,825084153995.0
Giá vốn hàng bán,Báo cáo kết quả hoạt động kinh doanh > Giá vốn hàng bán,Giá vốn hàng bán,11,390.416.222.098,19.824.515.563,410.240.737.661,11.0,390416222098.0,19824515563.0,410240737661.0
Doanh thu hoạt động tài chính,Báo cáo kết quả hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,14.660.241.137,532.182.144,15.192.423.281,21.0,14660241137.0,532182144.0,15192423281.0
Chi phí quản lý doanh nghiệp,Báo cáo kết quả hoạt động kinh doanh > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,36.757.177.851,638.849.971,37.396.027.822,26.0,36757177851.0,638849971.0,37396027822.0
Thu nhập khác,Báo cáo kết quả hoạt động kinh doanh > Thu nhập khác,Thu nhập khác,31,6.505.747.379,4.192.815.065,10.698.562.444,31.0,6505747379.0,4192815065.0,10698562444.0
Chi phí khác,Báo cáo kết quả hoạt động kinh doanh > Chi phí khác,Chi phí khác,32,688.131.971,5.329.791.713,6.017.923.684,32.0,688131971.0,5329791713.0,6017923684.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Báo cáo kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,31.016.484.233,148.556.940,31.165.041.173,51.0,31016484233.0,148556940.0,31165041173.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Báo cáo kết quả hoạt động kinh doanh > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,171.815.586.441,1.399.345.078,173.214.931.519,60.0,171815586441.0,1399345078.0,173214931519.0
