row_label_raw,row_label_full,col_0,Lĩnh vực bán vế câu đường,Lĩnh vực kinh doanh bất động sản,Lĩnh vực kinh doanh bất động sản đầu tư,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các lĩnh vực khác,Cộng,numeric__Lĩnh vực bán vế câu đường,numeric__Lĩnh vực kinh doanh bất động sản,numeric__Lĩnh vực kinh doanh bất động sản đầu tư,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các lĩnh vực khác,numeric__Cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Doanh thu thuần về bản hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bản hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bản hàng và cung cấp dịch vụ ra bên ngoài,265.831.248.833,527.966.139.065,4.920.000.000,173.524.589.497,17.160.795.473,10.932.668.142,1.000.335.441.010,265831248833.0,527966139065.0,4920000000.0,173524589497.0,17160795473.0,10932668142.0,1000335441010.0
Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phận,-,-,-,-,-,-,-,,,,,,,
Tổng doanh thu thuần về bản hàng và cung cấp dịch vụ,Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phận > Tổng doanh thu thuần về bản hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bản hàng và cung cấp dịch vụ,265.831.248.833,527.966.139.065,4.920.000.000,173.524.589.497,17.160.795.473,10.932.668.142,1.000.335.441.010,265831248833.0,527966139065.0,4920000000.0,173524589497.0,17160795473.0,10932668142.0,1000335441010.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,204.101.365.025,129.827.164.842,519.659.265,(2.746.730.408),(8.298.833.700),4.681.053.733,328.083.678.757,204101365025.0,129827164842.0,519659265.0,-2746730408.0,-8298833700.0,4681053733.0,328083678757.0
Các chi phí không phân bổ theo bộ phận,Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phận > Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,,328.083.678.757,,,,,,,328083678757.0
Lợi nhuận từ hoạt động kinh doanh,Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,23.006.991.595,,,,,,,23006991595.0
Doanh thu hoạt động tài chính,Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,(114.073.655.337),,,,,,,-114073655337.0
Chi phí tài chính,Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí tài chính,Chi phí tài chính,,,,,,,23.649.261.197,,,,,,,23649261197.0
Thu nhập khác,Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phận > Thu nhập khác,Thu nhập khác,,,,,,,(8.114.684.343),,,,,,,-8114684343.0
Chi phí khác,Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí khác,Chi phí khác,,,,,,,(39.296.147.438),,,,,,,-39296147438.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,,-,,,,,,,
Chi phí thuế thu nhập doanh nghiệp hoãn lai,Chi phí thuế thu nhập doanh nghiệp hiện hành > Chi phí thuế thu nhập doanh nghiệp hoãn lai,Chi phí thuế thu nhập doanh nghiệp hoãn lai,,,,,,,213.255.444.431,,,,,,,213255444431.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,,,,,,,,
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Lợi nhuận sau thuế thu nhập doanh nghiệp > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,9.968.203.459,2.114.510.433,14.887.533,529.655.805,-,33.370.206,12.660.627.436,9968203459.0,2114510433.0,14887533.0,529655805.0,,33370206.0,12660627436.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Lợi nhuận sau thuế thu nhập doanh nghiệp > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,31.838.872.637,871.746.701,4.056.862.510,164.911.311,-,3.249.910.925,40.182.304.084,31838872637.0,871746701.0,4056862510.0,164911311.0,,3249910925.0,40182304084.0
