row_label_raw,row_label_full,col_0,Giá trị số sách > Số cuối năm,Giá trị số sách > Số đầu năm,Giá trị hợp lý > Số cuối năm,Giá trị hợp lý > Số đầu năm,numeric__Giá trị số sách > Số cuối năm,numeric__Giá trị số sách > Số đầu năm,numeric__Giá trị hợp lý > Số cuối năm,numeric__Giá trị hợp lý > Số đầu năm
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,113.989.076.918,7.411.278.258,113.989.076.918,7.411.278.258,113989076918.0,7411278258.0,113989076918.0,7411278258.0
Các khoản đầu tư nắm giữ đến ngày đáo hạn,Tài sản tài chính > Các khoản đầu tư nắm giữ đến ngày đáo hạn,Các khoản đầu tư nắm giữ đến ngày đáo hạn,57.182.666.667,14.000.000.000,57.182.666.667,14.000.000.000,57182666667.0,14000000000.0,57182666667.0,14000000000.0
Phải thu khách hàng,Tài sản tài chính > Phải thu khách hàng,Phải thu khách hàng,2.813.040.379.237,3.513.015.978.086,2.813.040.379.237,3.513.015.978.086,2813040379237.0,3513015978086.0,2813040379237.0,3513015978086.0
Các khoản cho vay,Tài sản tài chính > Các khoản cho vay,Các khoản cho vay,206.029.524.239,91.009.573.257,206.029.524.239,91.009.573.257,206029524239.0,91009573257.0,206029524239.0,91009573257.0
Các khoản phải thu khác,Tài sản tài chính > Các khoản phải thu khác,Các khoản phải thu khác,107.854.669.773,112.797.602.976,107.854.669.773,112.797.602.976,107854669773.0,112797602976.0,107854669773.0,112797602976.0
Tài sản tài chính sẵn sàng để bán,Tài sản tài chính > Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,697.584.557.710,162.775.373.155,697.584.557.710,162.775.373.155,697584557710.0,162775373155.0,697584557710.0,162775373155.0
Cộng,Tài sản tài chính > Cộng,Cộng,3.995.680.874.544,3.901.009.805.732,3.995.680.874.544,3.901.009.805.732,3995680874544.0,3901009805732.0,3995680874544.0,3901009805732.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,161.007.061.000,32.700.000.000,161.007.061.000,32.700.000.000,161007061000.0,32700000000.0,161007061000.0,32700000000.0
Phải trả người bán,Nợ phải trả tài chính > Phải trả người bán,Phải trả người bán,3.780.215.172.325,4.527.398.385.111,3.780.215.172.325,4.527.398.385.111,3780215172325.0,4527398385111.0,3780215172325.0,4527398385111.0
Các khoản phải trả khác,Nợ phải trả tài chính > Các khoản phải trả khác,Các khoản phải trả khác,71.900.188.576,15.575.354.918,71.900.188.576,15.575.354.918,71900188576.0,15575354918.0,71900188576.0,15575354918.0
Cộng,Nợ phải trả tài chính > Cộng,Cộng,4.013.122.421.901,4.575.673.740.029,4.013.122.421.901,4.575.673.740.029,4013122421901.0,4575673740029.0,4013122421901.0,4575673740029.0
