row_label_raw,row_label_full,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP_1,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP_2,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP_3,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP_4,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP_5,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP_6,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP_7,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP_8,numeric__Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP_1,numeric__Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP_2,numeric__Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP_3,numeric__Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP_4,numeric__Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP_5,numeric__Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP_6,numeric__Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP_7,numeric__Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP_8
"A128 đường 3/2. khu phố Đông Tư. phường Lái Thiêu, thành phố Thuận An. tỉnh Bình Dương","A128 đường 3/2. khu phố Đông Tư. phường Lái Thiêu, thành phố Thuận An. tỉnh Bình Dương","A128 đường 3/2. khu phố Đông Tư. phường Lái Thiêu, thành phố Thuận An. tỉnh Bình Dương","A128 đường 3/2. khu phố Đông Tư. phường Lái Thiêu, thành phố Thuận An. tỉnh Bình Dương","A128 đường 3/2. khu phố Đông Tư. phường Lái Thiêu, thành phố Thuận An. tỉnh Bình Dương","A128 đường 3/2. khu phố Đông Tư. phường Lái Thiêu, thành phố Thuận An. tỉnh Bình Dương","A128 đường 3/2. khu phố Đông Tư. phường Lái Thiêu, thành phố Thuận An. tỉnh Bình Dương","A128 đường 3/2. khu phố Đông Tư. phường Lái Thiêu, thành phố Thuận An. tỉnh Bình Dương","A128 đường 3/2. khu phố Đông Tư. phường Lái Thiêu, thành phố Thuận An. tỉnh Bình Dương","A128 đường 3/2. khu phố Đông Tư. phường Lái Thiêu, thành phố Thuận An. tỉnh Bình Dương","A128 đường 3/2. khu phố Đông Tư. phường Lái Thiêu, thành phố Thuận An. tỉnh Bình Dương",,,,,,,,
,,,Vốn đầu tư củaChủ sở hữu,Vốn khác củaChủ sở hữu,Chênh lệch đánhgiá lại tài sản,Chênh lệch tỷ giáhối doái,Quỹ đầu tư pháttriển,Lợi nhuận chưaphân phối,Lợi ích cổ đôngkhông kiểm soát,Cộng,,,,,,,,
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu kỳ này,"A128 đường 3/2. khu phố Đông Tư. phường Lái Thiêu, thành phố Thuận An. tỉnh Bình Dương > Số dư đầu kỳ này",Số dư đầu kỳ này,3.000.000.000.000,11.949.349.305,(35.469.525.274),(46.093.514.343),55.367.268.821,561.017.546.224,482.588.841.016,4.029.359.965.749,3000000000000.0,11949349305.0,-35469525274.0,-46093514343.0,55367268821.0,561017546224.0,482588841016.0,4029359965749.0
Lợi nhuận trong kỳ,"A128 đường 3/2. khu phố Đông Tư. phường Lái Thiêu, thành phố Thuận An. tỉnh Bình Dương > Lợi nhuận trong kỳ",Lợi nhuận trong kỳ,-,-,-,-,-,284.033.511.599,33.209.694.280,317.243.205.879,,,,,,284033511599.0,33209694280.0,317243205879.0
Chia cổ tức,"A128 đường 3/2. khu phố Đông Tư. phường Lái Thiêu, thành phố Thuận An. tỉnh Bình Dương > Chia cổ tức",Chia cổ tức,-,-,-,-,-,-,(2.314.608.395),(2.314.608.395),,,,,,,-2314608395.0,-2314608395.0
Trích quỹ khen thưởngphúc lợi,"A128 đường 3/2. khu phố Đông Tư. phường Lái Thiêu, thành phố Thuận An. tỉnh Bình Dương > Trích quỹ khen thưởngphúc lợi",Trích quỹ khen thưởngphúc lợi,-,-,-,-,-,(1.703.523.461),(96.511.912),(1.800.035.373),,,,,,-1703523461.0,-96511912.0,-1800035373.0
Chênh lệch tỷ giá dochuyển đổi báo cáo tài chính,"A128 đường 3/2. khu phố Đông Tư. phường Lái Thiêu, thành phố Thuận An. tỉnh Bình Dương > Chênh lệch tỷ giá dochuyển đổi báo cáo tài chính",Chênh lệch tỷ giá dochuyển đổi báo cáo tài chính,-,-,-,(93.316.902.059),-,-,(95.475.709.098),(188.792.611.157),,,,-93316902059.0,,,-95475709098.0,-188792611157.0
Chênh lệch đánh giá lạitài sản theo giá trị hợp lý đã thực hiện,"A128 đường 3/2. khu phố Đông Tư. phường Lái Thiêu, thành phố Thuận An. tỉnh Bình Dương > Chênh lệch đánh giá lạitài sản theo giá trị hợp lý đã thực hiện",Chênh lệch đánh giá lạitài sản theo giá trị hợp lý đã thực hiện,-,-,-,-,-,(27.453.520.145),-,(27.453.520.145),,,,,,-27453520145.0,,-27453520145.0
Số dư cuối kỳ này,"A128 đường 3/2. khu phố Đông Tư. phường Lái Thiêu, thành phố Thuận An. tỉnh Bình Dương > Số dư cuối kỳ này",Số dư cuối kỳ này,3.000.000.000.000,11.949.349.305,(35.469.525.274),(139.410.416.402),55.367.268.821,815.894.014.217,417.911.705.891,4.126.242.396.558,3000000000000.0,11949349305.0,-35469525274.0,-139410416402.0,55367268821.0,815894014217.0,417911705891.0,4126242396558.0
