row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuống,Trên 1 nàmdến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 nămtrở xuống,numeric__Trên 1 nàmdến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,,,,
"Tiền, các khoản tương đương tiền","Tại ngày 31/12/2022 > Tiền, các khoản tương đương tiền","Tiền, các khoản tương đương tiền",311.401.475.694,-,-,311.401.475.694,311401475694.0,,,311401475694.0
"Phải thu khách hàng, phải thu khác","Tại ngày 31/12/2022 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",592.549.235.860,60.138.000.000,-,652.687.235.860,592549235860.0,60138000000.0,,652687235860.0
Các khoản cho vay,Tại ngày 31/12/2022 > Các khoản cho vay,Các khoản cho vay,821.018.953.457,9.896.049.652,-,830.915.003.109,821018953457.0,9896049652.0,,830915003109.0
,,,1.724.969.665.011,70.034.049.652,-,1.795.003.714.663,1724969665011.0,70034049652.0,,1795003714663.0
Tại ngày 01/01/2022,Tại ngày 01/01/2022,Tại ngày 01/01/2022,Tại ngày 01/01/2022,Tại ngày 01/01/2022,Tại ngày 01/01/2022,Tại ngày 01/01/2022,,,,
"Tiền, các khoản tương đương tiền","Tại ngày 01/01/2022 > Tiền, các khoản tương đương tiền","Tiền, các khoản tương đương tiền",286.085.953.704,-,-,286.085.953.704,286085953704.0,,,286085953704.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2022 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",470.788.333.747,294.630.146.295,-,765.418.480.042,470788333747.0,294630146295.0,,765418480042.0
Các khoản cho vay,Tại ngày 01/01/2022 > Các khoản cho vay,Các khoản cho vay,470.809.987.317,117.243.151.713,-,588.053.139.030,470809987317.0,117243151713.0,,588053139030.0
,,,1.227.684.274.768,411.873.298.008,-,1.639.557.572.776,1227684274768.0,411873298008.0,,1639557572776.0
