row_label_raw,row_label_full,col_0,Vốn đầu tư củaChủ sở hữu,Vốn khác củaChủ sở hữu,Chênh lệch đánhgiá lại tài sản,Chênh lệch tỷ giáhối doái,Quỹ đầu tư pháttriển,Lợi nhuận chưaphân phối,Lợi ích cổ đôngkhông kiểm soát,Cộng,numeric__Vốn đầu tư củaChủ sở hữu,numeric__Vốn khác củaChủ sở hữu,numeric__Chênh lệch đánhgiá lại tài sản,numeric__Chênh lệch tỷ giáhối doái,numeric__Quỹ đầu tư pháttriển,numeric__Lợi nhuận chưaphân phối,numeric__Lợi ích cổ đôngkhông kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu kỳ trước,Số dư đầu kỳ trước,Số dư đầu kỳ trước,3.000.000.000.000,11.949.349.305,(35.469.525.274),10.193.697.775,45.088.685.544,473.421.504.824,520.480.045.959,4.025.663.758.133,3000000000000.0,11949349305.0,-35469525274.0,10193697775.0,45088685544.0,473421504824.0,520480045959.0,4025663758133.0
Lãi trong kỳ trước,Lãi trong kỳ trước,Lãi trong kỳ trước,-,-,-,-,-,236.700.815.510,27.607.766.538,264.308.582.048,,,,,,236700815510.0,27607766538.0,264308582048.0
Trích lập Quỹ đầu tưphát triển,Trích lập Quỹ đầu tưphát triển,Trích lập Quỹ đầu tưphát triển,-,-,-,-,10.278.583.277,(10.278.583.277),-,-,,,,,10278583277.0,-10278583277.0,,
Chia cổ tức trong kỳ,Chia cổ tức trong kỳ,Chia cổ tức trong kỳ,-,-,-,-,-,(90.000.000.000),(1.852.104.240),(91.852.104.240),,,,,,-90000000000.0,-1852104240.0,-91852104240.0
"Tạm trích thù lao Hộiđồng Quản trị, BanKiểm soát năm 2021","Tạm trích thù lao Hộiđồng Quản trị, BanKiểm soát năm 2021","Tạm trích thù lao Hộiđồng Quản trị, BanKiểm soát năm 2021",-,-,-,-,-,(1.296.000.000),-,(1.296.000.000),,,,,,-1296000000.0,,-1296000000.0
"Trích thù lao Hội đồngQuản trị, Ban Kiểmsoát năm 2020","Trích thù lao Hội đồngQuản trị, Ban Kiểmsoát năm 2020","Trích thù lao Hội đồngQuản trị, Ban Kiểmsoát năm 2020",-,-,-,-,-,(414.720.000),-,(414.720.000),,,,,,-414720000.0,,-414720000.0
Trích Quỹ khen thưởngBan điều hành,Trích Quỹ khen thưởngBan điều hành,Trích Quỹ khen thưởngBan điều hành,-,-,-,-,-,(405.000.000),-,(405.000.000),,,,,,-405000000.0,,-405000000.0
Trích Quỹ khen thưởngphúc lợi,Trích Quỹ khen thưởngphúc lợi,Trích Quỹ khen thưởngphúc lợi,-,-,-,-,-,(13.398.267.694),(315.701.011),(13.713.968.705),,,,,,-13398267694.0,-315701011.0,-13713968705.0
Chênh lệch tỷ giá dochuyễn đổi báo cáo tàichính,Chênh lệch tỷ giá dochuyễn đổi báo cáo tàichính,Chênh lệch tỷ giá dochuyễn đổi báo cáo tàichính,-,-,-,(56.287.212.118),-,-,(47.891.311.781),(104.178.523.899),,,,-56287212118.0,,,-47891311781.0,-104178523899.0
Chênh lệch đánh giá latitài sản theo giá trị hợp lý đã thực hiện,Chênh lệch đánh giá latitài sản theo giá trị hợp lý đã thực hiện,Chênh lệch đánh giá latitài sản theo giá trị hợp lý đã thực hiện,-,-,-,-,-,(29.789.597.240),-,(29.789.597.240),,,,,,-29789597240.0,,-29789597240.0
Điều chính thay đổi lợiích trong các khoảnđầu tư,Điều chính thay đổi lợiích trong các khoảnđầu tư,Điều chính thay đổi lợiích trong các khoảnđầu tư,-,-,-,-,-,(3.522.605.899),(15.439.854.449),(18.962.460.348),,,,,,-3522605899.0,-15439854449.0,-18962460348.0
Số dư cuối kỳ trước,Số dư cuối kỳ trước,Số dư cuối kỳ trước,3.000.000.000.000,11.949.349.305,(35.469.525.274),(46.093.514.343),55.367.268.821,561.017.546.224,482.588.841.016,4.029.359.965.749,3000000000000.0,11949349305.0,-35469525274.0,-46093514343.0,55367268821.0,561017546224.0,482588841016.0,4029359965749.0
